Repository,File Name,Class,Start Line,End Line,Displacement,Level
processors,blockquote.py,Simple Tuple,15,15,8,A1
processors,blockquote.py,Simple Tuple,13,14,8,A1
processors,blockquote.py,Simple Tuple,17,19,8,A1
processors,blockquote.py,Simple Tuple,22,24,8,A1
processors,blockquote.py,Simple Tuple,27,29,8,A1
processors,blockquote.py,Super Function,33,33,8,C2
processors,blockquote.py,Simple Atributte,15,15,9,A2
processors,blockquote.py,Simple Atributte,15,15,26,A2
processors,blockquote.py,Simple Atributte,36,36,20,A2
processors,blockquote.py,Simple Atributte,33,33,8,A2
processors,blockquote.py,Simple Atributte,37,37,25,A2
processors,blockquote.py,Simple Atributte,37,37,57,A2
processors,blockquote.py,Simple Atributte,51,51,19,A2
processors,blockquote.py,Simple Atributte,59,59,19,A2
processors,blockquote.py,Simple Atributte,38,38,19,A2
processors,blockquote.py,Simple Atributte,44,44,29,A2
processors,blockquote.py,Simple Atributte,47,47,19,A2
processors,blockquote.py,Simple Atributte,47,47,48,A2
processors,blockquote.py,Simple Atributte,49,49,19,A2
processors,blockquote.py,Simple Atributte,56,56,27,A2
processors,blockquote.py,Simple Atributte,57,57,27,A2
processors,blockquote.py,Simple Atributte,57,57,56,A2
processors,blockquote.py,Simple Atributte,60,60,20,A2
processors,blockquote.py,Simple Atributte,61,61,20,A2
processors,blockquote.py,Simple Atributte,61,61,50,A2
processors,blockquote.py,Simple Atributte,54,54,87,A2
processors,blockquote.py,Simple Atributte,54,54,110,A2
processors,blockquote.py,Simple Atributte,55,55,93,A2
processors,blockquote.py,Simple Atributte,55,55,118,A2
processors,blockquote.py,Simple Atributte,56,56,27,A2
processors,blockquote.py,Simple Atributte,56,56,56,A2
processors,blockquote.py,Simple Atributte,57,57,27,A2
processors,blockquote.py,Simple Atributte,57,57,56,A2
processors,blockquote.py,Simple Atributte,63,63,24,A2
processors,blockquote.py,Simple Atributte,65,65,20,A2
processors,blockquote.py,Simple Atributte,66,66,20,A2
processors,blockquote.py,Simple Atributte,41,41,27,A2
processors,blockquote.py,Simple Atributte,54,54,37,A2
processors,blockquote.py,Simple Atributte,54,54,64,A2
processors,blockquote.py,Simple Atributte,54,54,110,A2
processors,blockquote.py,Simple Atributte,55,55,39,A2
processors,blockquote.py,Simple Atributte,55,55,68,A2
processors,blockquote.py,Simple Atributte,55,55,118,A2
processors,blockquote.py,Simple Atributte,56,56,56,A2
processors,blockquote.py,Simple Atributte,56,56,81,A2
processors,blockquote.py,Simple Atributte,56,56,101,A2
processors,blockquote.py,Simple Atributte,54,54,37,A2
processors,blockquote.py,Simple Atributte,54,54,64,A2
processors,blockquote.py,Simple Atributte,55,55,39,A2
processors,blockquote.py,Simple Atributte,55,55,68,A2
processors,blockquote.py,Simple Atributte,56,56,101,A2
processors,blockquote.py,Simple Atributte,64,64,25,A2
processors,blockquote.py,Simple Assignment,44,44,16,A1
processors,blockquote.py,Simple Assignment,54,54,16,A1
processors,blockquote.py,Simple Assignment,55,55,16,A1
processors,blockquote.py,Simple Assignment,56,56,16,A1
processors,blockquote.py,Simple Assignment,57,57,16,A1
processors,blockquote.py,Simple Assignment,60,60,20,A1
processors,blockquote.py,Simple Assignment,61,61,20,A1
processors,blockquote.py,Simple Assignment,65,65,20,A1
processors,blockquote.py,Simple Assignment,66,66,20,A1
processors,blockquote.py,Simplified incremental Assignment with increase amount,63,63,24,A2
processors,blockquote.py,From,1,1,0,A2
processors,blockquote.py,From,3,3,0,A2
processors,blockquote.py,From,4,4,0,A2
processors,blockquote.py,From,5,5,0,A2
processors,blockquote.py,Simple If statements,38,39,16,A1
processors,blockquote.py,Simple If statements,41,42,16,A1
processors,blockquote.py,Simple If statements,45,46,16,A1
processors,blockquote.py,Simple If statements,47,48,16,A1
processors,blockquote.py,Simple If statements,49,50,16,A1
processors,blockquote.py,Simple If statements,51,52,16,A1
processors,blockquote.py,Simple If statements,59,66,16,A1
processors,blockquote.py,Simple If statements,62,63,20,A1
processors,blockquote.py,Simple If statements,64,66,16,A1
processors,blockquote.py,1 Nested For Loop,36,66,8,A2
processors,blockquote.py,Simple For Loop,37,66,12,A1
processors,blockquote.py,'continue' statement,39,39,20,B1
processors,blockquote.py,'continue' statement,42,42,20,B1
processors,blockquote.py,'continue' statement,46,46,20,B1
processors,blockquote.py,'continue' statement,48,48,20,B1
processors,blockquote.py,'continue' statement,50,50,20,B1
processors,blockquote.py,'continue' statement,52,52,20,B1
processors,blockquote.py,Function with Simple argument,32,33,4,A1
processors,blockquote.py,Function with Simple argument,35,66,4,A1
processors,blockquote.py,Inherited Class from BaseProcessor,8,66,0,B1
