Repository,File Name,Class,Start Line,End Line,Displacement,Level
renderers,chunk.py,Simple List,78,78,22,A1
renderers,chunk.py,Simple List,83,83,23,A1
renderers,chunk.py,Simple Tuple,27,27,51,A1
renderers,chunk.py,Simple Tuple,24,24,20,A1
renderers,chunk.py,Simple Tuple,18,18,28,A1
renderers,chunk.py,Simple Dictionary,29,29,31,A2
renderers,chunk.py,Simple Dictionary,31,31,33,A2
renderers,chunk.py,Simple Dictionary,89,89,26,A2
renderers,chunk.py,Simple Atributte,32,32,27,A2
renderers,chunk.py,Simple Atributte,44,44,17,A2
renderers,chunk.py,Simple Atributte,46,46,25,A2
renderers,chunk.py,Simple Atributte,47,47,19,A2
renderers,chunk.py,Simple Atributte,53,53,11,A2
renderers,chunk.py,Simple Atributte,57,57,7,A2
renderers,chunk.py,Simple Atributte,58,58,19,A2
renderers,chunk.py,Simple Atributte,79,79,27,A2
renderers,chunk.py,Simple Atributte,29,29,15,A2
renderers,chunk.py,Simple Atributte,31,31,17,A2
renderers,chunk.py,Simple Atributte,38,38,11,A2
renderers,chunk.py,Simple Atributte,41,41,19,A2
renderers,chunk.py,Simple Atributte,43,43,78,A2
renderers,chunk.py,Simple Atributte,44,44,39,A2
renderers,chunk.py,Simple Atributte,49,49,17,A2
renderers,chunk.py,Simple Atributte,77,77,26,A2
renderers,chunk.py,Simple Atributte,77,77,42,A2
renderers,chunk.py,Simple Atributte,89,89,12,A2
renderers,chunk.py,Simple Atributte,33,33,12,A2
renderers,chunk.py,Simple Atributte,51,51,12,A2
renderers,chunk.py,Simple Atributte,63,63,15,A2
renderers,chunk.py,Simple Atributte,64,64,23,A2
renderers,chunk.py,Simple Atributte,67,67,20,A2
renderers,chunk.py,Simple Atributte,68,68,17,A2
renderers,chunk.py,Simple Atributte,69,69,30,A2
renderers,chunk.py,Simple Atributte,80,80,12,A2
renderers,chunk.py,Simple Atributte,86,86,12,A2
renderers,chunk.py,Simple Atributte,89,89,35,A2
renderers,chunk.py,Simple Atributte,89,89,65,A2
renderers,chunk.py,Simple Atributte,90,90,24,A2
renderers,chunk.py,Simple Atributte,39,39,25,A2
renderers,chunk.py,Simple Atributte,39,39,47,A2
renderers,chunk.py,Simple Atributte,59,59,22,A2
renderers,chunk.py,Simple Atributte,80,80,31,A2
renderers,chunk.py,Simple Atributte,89,89,35,A2
renderers,chunk.py,Simple Atributte,89,89,65,A2
renderers,chunk.py,Simple Atributte,96,96,21,A2
renderers,chunk.py,Simple Atributte,51,51,40,A2
renderers,chunk.py,Simple Atributte,59,59,22,A2
renderers,chunk.py,Simple Atributte,85,85,71,A2
renderers,chunk.py,Simple List Comprehension,43,43,17,C1
renderers,chunk.py,Simple List Comprehension,44,44,16,C1
renderers,chunk.py,Simple List Comprehension,60,60,15,C1
renderers,chunk.py,Simple List Comprehension,85,85,46,C1
renderers,chunk.py,Simple Dictionary Comprehension,88,91,20,C1
renderers,chunk.py,Simple Assignment,43,43,4,A1
renderers,chunk.py,Simple Assignment,44,44,4,A1
renderers,chunk.py,Simple Assignment,46,46,4,A1
renderers,chunk.py,Simple Assignment,47,47,4,A1
renderers,chunk.py,Simple Assignment,31,31,8,A1
renderers,chunk.py,Simple Assignment,49,49,8,A1
renderers,chunk.py,Simple Assignment,58,58,8,A1
renderers,chunk.py,Simple Assignment,59,59,8,A1
renderers,chunk.py,Simple Assignment,77,77,8,A1
renderers,chunk.py,Simple Assignment,78,78,8,A1
renderers,chunk.py,Simple Assignment,83,83,8,A1
renderers,chunk.py,Simple Assignment,88,91,8,A1
renderers,chunk.py,Simple Assignment,85,85,12,A1
renderers,chunk.py,Import,1,1,0,A2
renderers,chunk.py,From,2,2,0,A2
renderers,chunk.py,From,4,4,0,A2
renderers,chunk.py,From,5,5,0,A2
renderers,chunk.py,From,7,7,0,A2
renderers,chunk.py,From,8,8,0,A2
renderers,chunk.py,Simple If statements,28,34,4,A1
renderers,chunk.py,Simple If statements,37,41,4,A1
renderers,chunk.py,Simple If statements,57,71,4,A1
renderers,chunk.py,Simple If statements,38,41,8,A1
renderers,chunk.py,Simple If statements,50,51,8,A1
renderers,chunk.py,Simple For Loop,48,51,4,A1
renderers,chunk.py,Simple For Loop,32,33,8,A1
renderers,chunk.py,Simple For Loop,79,80,8,A1
renderers,chunk.py,Simple For Loop,84,86,8,A1
renderers,chunk.py,Recursive Functions,27,34,0,B2
renderers,chunk.py,Recursive Functions,36,53,0,B2
renderers,chunk.py,Recursive Functions,55,71,0,B2
renderers,chunk.py,Function with Simple argument,76,97,4,A1
renderers,chunk.py,Return,53,53,4,A1
renderers,chunk.py,Return,29,29,8,A1
renderers,chunk.py,Return,34,34,8,A1
renderers,chunk.py,Return,60,60,8,A1
renderers,chunk.py,Return,62,71,8,A1
renderers,chunk.py,Return,93,97,8,A1
renderers,chunk.py,Return,39,39,12,A1
renderers,chunk.py,Return,41,41,12,A1
renderers,chunk.py,Inherited Class from BaseModel,11,19,0,B1
renderers,chunk.py,Inherited Class from BaseModel,22,25,0,B1
renderers,chunk.py,Inherited Class from JSONRenderer,74,97,0,B1
