Repository,File Name,Class,Start Line,End Line,Displacement,Level
scripts,chunk_convert.py,Simple Atributte,8,8,13,A2
scripts,chunk_convert.py,Simple Atributte,9,9,4,A2
scripts,chunk_convert.py,Simple Atributte,10,10,4,A2
scripts,chunk_convert.py,Simple Atributte,11,11,11,A2
scripts,chunk_convert.py,Simple Atributte,13,13,14,A2
scripts,chunk_convert.py,Simple Atributte,14,14,18,A2
scripts,chunk_convert.py,Simple Atributte,20,20,4,A2
scripts,chunk_convert.py,Simple Atributte,13,13,14,A2
scripts,chunk_convert.py,Simple Atributte,13,13,30,A2
scripts,chunk_convert.py,Simple Atributte,14,14,18,A2
scripts,chunk_convert.py,Simple Atributte,17,17,27,A2
scripts,chunk_convert.py,Simple Atributte,17,17,44,A2
scripts,chunk_convert.py,Simple Atributte,13,13,30,A2
scripts,chunk_convert.py,Simple Assignment,8,8,4,A1
scripts,chunk_convert.py,Simple Assignment,11,11,4,A1
scripts,chunk_convert.py,Simple Assignment,13,13,4,A1
scripts,chunk_convert.py,Simple Assignment,14,14,4,A1
scripts,chunk_convert.py,Simple Assignment,17,17,4,A1
scripts,chunk_convert.py,Import,1,1,0,A2
scripts,chunk_convert.py,Import,2,2,0,A2
scripts,chunk_convert.py,Import,3,3,0,A2
scripts,chunk_convert.py,Import,4,4,0,A2
scripts,chunk_convert.py,Function,7,20,0,A1
