Repository,File Name,Class,Start Line,End Line,Displacement,Level
scripts,common.py,Simple List,31,31,15,A1
scripts,common.py,Simple List,118,118,34,A1
scripts,common.py,Simple Tuple,142,142,12,A1
scripts,common.py,Simple Tuple,147,147,12,A1
scripts,common.py,Simple Dictionary,176,176,16,A2
scripts,common.py,Simple Dictionary,103,103,21,A2
scripts,common.py,Simple Dictionary,42,42,15,A2
scripts,common.py,1 List Dictionary,116,119,44,B1
scripts,common.py,Print,157,157,8,A1
scripts,common.py,Simple Atributte,24,24,5,A2
scripts,common.py,Simple Atributte,21,21,1,A2
scripts,common.py,Simple Atributte,45,45,1,A2
scripts,common.py,Simple Atributte,64,64,1,A2
scripts,common.py,Simple Atributte,81,81,1,A2
scripts,common.py,Simple Atributte,35,35,4,A2
scripts,common.py,Simple Atributte,36,36,10,A2
scripts,common.py,Simple Atributte,40,40,15,A2
scripts,common.py,Simple Atributte,41,41,11,A2
scripts,common.py,Simple Atributte,51,51,13,A2
scripts,common.py,Simple Atributte,52,52,11,A2
scripts,common.py,Simple Atributte,56,56,16,A2
scripts,common.py,Simple Atributte,57,57,4,A2
scripts,common.py,Simple Atributte,58,58,16,A2
scripts,common.py,Simple Atributte,59,59,14,A2
scripts,common.py,Simple Atributte,66,66,16,A2
scripts,common.py,Simple Atributte,83,83,16,A2
scripts,common.py,Simple Atributte,91,91,15,A2
scripts,common.py,Simple Atributte,92,92,4,A2
scripts,common.py,Simple Atributte,93,93,11,A2
scripts,common.py,Simple Atributte,180,180,11,A2
scripts,common.py,Simple Atributte,30,30,19,A2
scripts,common.py,Simple Atributte,35,35,4,A2
scripts,common.py,Simple Atributte,38,38,19,A2
scripts,common.py,Simple Atributte,39,39,8,A2
scripts,common.py,Simple Atributte,41,41,11,A2
scripts,common.py,Simple Atributte,51,51,24,A2
scripts,common.py,Simple Atributte,57,57,31,A2
scripts,common.py,Simple Atributte,70,74,12,A2
scripts,common.py,Simple Atributte,77,77,20,A2
scripts,common.py,Simple Atributte,99,99,15,A2
scripts,common.py,Simple Atributte,105,105,20,A2
scripts,common.py,Simple Atributte,142,142,32,A2
scripts,common.py,Simple Atributte,147,147,32,A2
scripts,common.py,Simple Atributte,59,59,14,A2
scripts,common.py,Simple Atributte,60,60,39,A2
scripts,common.py,Simple Atributte,93,93,11,A2
scripts,common.py,Simple Atributte,106,106,32,A2
scripts,common.py,Simple Atributte,109,109,28,A2
scripts,common.py,Simple Atributte,143,143,12,A2
scripts,common.py,Simple Atributte,60,60,39,A2
scripts,common.py,Simple Atributte,70,73,12,A2
scripts,common.py,Simple Atributte,77,77,20,A2
scripts,common.py,Simple Atributte,93,93,28,A2
