Repository,File Name,Class,Start Line,End Line,Displacement,Level
scripts,convert.py,Simple Tuple,62,62,4,A1
scripts,convert.py,Simple Tuple,170,170,8,A1
scripts,convert.py,Simple Tuple,186,186,21,A1
scripts,convert.py,Print,201,203,8,A1
scripts,convert.py,Simple Atributte,138,138,1,A2
scripts,convert.py,Simple Atributte,11,11,0,A2
scripts,convert.py,Simple Atributte,12,12,0,A2
scripts,convert.py,Simple Atributte,13,13,0,A2
scripts,convert.py,Simple Atributte,14,14,0,A2
scripts,convert.py,Simple Atributte,15,15,0,A2
scripts,convert.py,Simple Atributte,16,16,0,A2
scripts,convert.py,Simple Atributte,17,17,0,A2
scripts,convert.py,Simple Atributte,18,18,0,A2
scripts,convert.py,Simple Atributte,21,21,0,A2
scripts,convert.py,Simple Atributte,105,105,1,A2
scripts,convert.py,Simple Atributte,106,106,1,A2
scripts,convert.py,Simple Atributte,107,107,1,A2
scripts,convert.py,Simple Atributte,108,108,1,A2
scripts,convert.py,Simple Atributte,114,114,1,A2
scripts,convert.py,Simple Atributte,117,117,1,A2
scripts,convert.py,Simple Atributte,123,123,1,A2
scripts,convert.py,Simple Atributte,126,126,1,A2
scripts,convert.py,Simple Atributte,132,132,1,A2
scripts,convert.py,Simple Atributte,49,49,4,A2
scripts,convert.py,Simple Atributte,63,63,4,A2
scripts,convert.py,Simple Atributte,68,68,17,A2
scripts,convert.py,Simple Atributte,69,69,16,A2
scripts,convert.py,Simple Atributte,73,73,20,A2
scripts,convert.py,Simple Atributte,74,74,18,A2
scripts,convert.py,Simple Atributte,90,90,21,A2
scripts,convert.py,Simple Atributte,141,141,16,A2
scripts,convert.py,Simple Atributte,147,147,17,A2
scripts,convert.py,Simple Atributte,70,70,7,A2
scripts,convert.py,Simple Atributte,78,78,11,A2
scripts,convert.py,Simple Atributte,88,88,21,A2
scripts,convert.py,Simple Atributte,92,92,11,A2
scripts,convert.py,Simple Atributte,100,100,8,A2
scripts,convert.py,Simple Atributte,141,141,16,A2
scripts,convert.py,Simple Atributte,142,142,13,A2
scripts,convert.py,Simple Atributte,160,160,8,A2
scripts,convert.py,Simple Atributte,181,181,8,A2
scripts,convert.py,Simple Atributte,183,183,8,A2
