Repository,File Name,Class,Start Line,End Line,Displacement,Level
config,crawler.py,Simple Tuple,19,27,21,A1
config,crawler.py,Simple Tuple,64,64,53,A1
config,crawler.py,Simple Tuple,81,81,34,A1
config,crawler.py,Simple Tuple,30,30,36,A1
config,crawler.py,Simple Tuple,38,38,16,A1
config,crawler.py,Simple Tuple,82,82,21,A1
config,crawler.py,Simple Tuple,93,93,16,A1
config,crawler.py,Simple Tuple,104,104,16,A1
config,crawler.py,Simple Tuple,45,45,20,A1
config,crawler.py,Simple Tuple,76,76,20,A1
config,crawler.py,Simple Tuple,49,49,31,A1
config,crawler.py,Simple Tuple,61,61,24,A1
config,crawler.py,Simple Tuple,109,109,24,A1
