Repository,File Name,Class,Start Line,End Line,Displacement,Level
processors,debug.py,Simple List,131,131,24,A1
processors,debug.py,Simple List,132,132,24,A1
processors,debug.py,Simple List,164,164,21,A1
processors,debug.py,Simple List,45,45,15,A1
processors,debug.py,Simple List,66,66,26,A1
processors,debug.py,Simple List,67,67,26,A1
processors,debug.py,Simple List,68,68,23,A1
processors,debug.py,Simple List,101,101,26,A1
processors,debug.py,Simple List,102,102,24,A1
processors,debug.py,Simple List,135,135,35,A1
processors,debug.py,Simple Tuple,22,22,8,A1
processors,debug.py,Simple Tuple,25,26,8,A1
processors,debug.py,Simple Tuple,29,30,8,A1
processors,debug.py,Simple Tuple,33,34,8,A1
processors,debug.py,Simple Tuple,37,38,8,A1
processors,debug.py,Simple Tuple,183,183,8,A1
processors,debug.py,Simple Tuple,184,184,15,A1
processors,debug.py,Simple Tuple,200,200,12,A1
processors,debug.py,Simple Tuple,183,183,44,A1
processors,debug.py,Simple Tuple,181,181,38,A1
processors,debug.py,Simple Tuple,211,211,32,A1
processors,debug.py,Simple Tuple,215,220,31,A1
