Repository,File Name,Class,Start Line,End Line,Displacement,Level
blocks,equation.py,Super Function,19,19,23,C2
blocks,equation.py,Super Function,25,25,23,C2
blocks,equation.py,Simple Atributte,6,6,29,A2
blocks,equation.py,Simple Atributte,13,13,11,A2
blocks,equation.py,Simple Atributte,19,19,23,A2
blocks,equation.py,Simple Atributte,25,25,23,A2
blocks,equation.py,Simple Atributte,22,22,44,A2
blocks,equation.py,Simple Atributte,22,22,63,A2
blocks,equation.py,Simple Atributte,28,28,37,A2
blocks,equation.py,Simple Atributte,17,17,19,A2
blocks,equation.py,Simple Atributte,17,17,42,A2
blocks,equation.py,Simple Atributte,17,17,19,A2
blocks,equation.py,List Comprehension with 1If statements,14,18,31,C1
blocks,equation.py,Simple Assignment,14,18,12,A1
blocks,equation.py,Simple Assignment,19,21,12,A1
blocks,equation.py,Simple Assignment,25,27,12,A1
blocks,equation.py,Simplified incremental Assignment with increase amount,22,22,12,A2
blocks,equation.py,From,1,1,0,A2
blocks,equation.py,From,2,2,0,A2
blocks,equation.py,Simple If statements,13,28,8,A1
blocks,equation.py,Function with Simple argument with Default argument,10,28,4,A2
blocks,equation.py,Return,23,23,12,A1
blocks,equation.py,Return,28,28,12,A1
blocks,equation.py,Inherited Class from Block,5,28,0,B1
