Repository,File Name,Class,Start Line,End Line,Displacement,Level
scripts,extraction_app.py,Simple List,50,50,24,A1
scripts,extraction_app.py,Simple List,65,65,9,A1
scripts,extraction_app.py,Simple List,107,107,25,A1
scripts,extraction_app.py,Simple List,225,225,52,A1
scripts,extraction_app.py,Simple Tuple,31,31,5,A1
scripts,extraction_app.py,Simple Tuple,50,50,0,A1
scripts,extraction_app.py,Simple Tuple,107,107,4,A1
scripts,extraction_app.py,Simple Tuple,31,31,16,A1
scripts,extraction_app.py,Simple Dictionary,211,215,12,A2
scripts,extraction_app.py,Files --> 'write' call function,113,113,8,A2
scripts,extraction_app.py,Files --> 'write' call function,140,140,8,A2
scripts,extraction_app.py,Files --> 'open' call function,207,207,13,A2
scripts,extraction_app.py,Files --> 'write' call function,208,208,12,A2
scripts,extraction_app.py,Files --> 'write' call function,224,224,16,A2
scripts,extraction_app.py,If statements expression (else),115,117,12,B1
scripts,extraction_app.py,Simple Atributte,97,97,11,A2
scripts,extraction_app.py,Simple Atributte,16,16,0,A2
scripts,extraction_app.py,Simple Atributte,17,17,0,A2
scripts,extraction_app.py,Simple Atributte,49,49,0,A2
scripts,extraction_app.py,Simple Atributte,50,50,13,A2
scripts,extraction_app.py,Simple Atributte,55,55,0,A2
scripts,extraction_app.py,Simple Atributte,63,63,24,A2
scripts,extraction_app.py,Simple Atributte,69,69,37,A2
scripts,extraction_app.py,Simple Atributte,70,70,4,A2
scripts,extraction_app.py,Simple Atributte,72,72,21,A2
scripts,extraction_app.py,Simple Atributte,73,73,4,A2
scripts,extraction_app.py,Simple Atributte,75,75,28,A2
scripts,extraction_app.py,Simple Atributte,76,76,4,A2
scripts,extraction_app.py,Simple Atributte,184,184,13,A2
scripts,extraction_app.py,Simple Atributte,186,186,10,A2
scripts,extraction_app.py,Simple Atributte,189,189,12,A2
scripts,extraction_app.py,Simple Atributte,190,190,21,A2
scripts,extraction_app.py,Simple Atributte,36,36,18,A2
scripts,extraction_app.py,Simple Atributte,63,63,24,A2
scripts,extraction_app.py,Simple Atributte,70,70,4,A2
scripts,extraction_app.py,Simple Atributte,73,73,4,A2
scripts,extraction_app.py,Simple Atributte,76,76,4,A2
scripts,extraction_app.py,Simple Atributte,84,84,7,A2
scripts,extraction_app.py,Simple Atributte,85,85,8,A2
scripts,extraction_app.py,Simple Atributte,86,86,8,A2
scripts,extraction_app.py,Simple Atributte,89,89,7,A2
scripts,extraction_app.py,Simple Atributte,90,90,8,A2
scripts,extraction_app.py,Simple Atributte,91,91,8,A2
scripts,extraction_app.py,Simple Atributte,92,92,8,A2
scripts,extraction_app.py,Simple Atributte,95,95,4,A2
scripts,extraction_app.py,Simple Atributte,101,101,18,A2
scripts,extraction_app.py,Simple Atributte,105,105,4,A2
scripts,extraction_app.py,Simple Atributte,107,107,17,A2
scripts,extraction_app.py,Simple Atributte,184,184,13,A2
scripts,extraction_app.py,Simple Atributte,186,186,10,A2
scripts,extraction_app.py,Simple Atributte,189,189,12,A2
scripts,extraction_app.py,Simple Atributte,190,190,21,A2
scripts,extraction_app.py,Simple Atributte,81,81,25,A2
scripts,extraction_app.py,Simple Atributte,81,81,40,A2
scripts,extraction_app.py,Simple Atributte,84,84,7,A2
scripts,extraction_app.py,Simple Atributte,85,85,8,A2
scripts,extraction_app.py,Simple Atributte,86,86,8,A2
scripts,extraction_app.py,Simple Atributte,89,89,7,A2
scripts,extraction_app.py,Simple Atributte,90,90,8,A2
scripts,extraction_app.py,Simple Atributte,91,91,8,A2
scripts,extraction_app.py,Simple Atributte,92,92,8,A2
scripts,extraction_app.py,Simple Atributte,113,113,8,A2
scripts,extraction_app.py,Simple Atributte,116,116,15,A2
scripts,extraction_app.py,Simple Atributte,115,115,12,A2
scripts,extraction_app.py,Simple Atributte,119,119,28,A2
scripts,extraction_app.py,Simple Atributte,140,140,8,A2
scripts,extraction_app.py,Simple Atributte,156,156,24,A2
scripts,extraction_app.py,Simple Atributte,199,199,8,A2
scripts,extraction_app.py,Simple Atributte,202,202,8,A2
scripts,extraction_app.py,Simple Atributte,205,205,9,A2
scripts,extraction_app.py,Simple Atributte,206,206,19,A2
scripts,extraction_app.py,Simple Atributte,210,210,8,A2
scripts,extraction_app.py,Simple Atributte,234,234,8,A2
scripts,extraction_app.py,Simple Atributte,42,42,23,A2
scripts,extraction_app.py,Simple Atributte,43,43,17,A2
scripts,extraction_app.py,Simple Atributte,44,44,20,A2
