Repository,File Name,Class,Start Line,End Line,Displacement,Level
scripts,file_to_s3.py,Print,41,41,4,A1
scripts,file_to_s3.py,Print,39,39,8,A1
scripts,file_to_s3.py,Simple Atributte,13,13,1,A2
scripts,file_to_s3.py,Simple Atributte,14,14,1,A2
scripts,file_to_s3.py,Simple Atributte,15,15,1,A2
scripts,file_to_s3.py,Simple Atributte,16,16,1,A2
scripts,file_to_s3.py,Simple Atributte,17,17,1,A2
scripts,file_to_s3.py,Simple Atributte,18,18,1,A2
scripts,file_to_s3.py,Simple Atributte,22,22,16,A2
scripts,file_to_s3.py,Simple Atributte,30,30,26,A2
scripts,file_to_s3.py,Simple Atributte,33,33,8,A2
scripts,file_to_s3.py,Simple Assignment,11,11,0,A1
scripts,file_to_s3.py,Simple Assignment,20,20,4,A1
scripts,file_to_s3.py,Simple Assignment,22,28,4,A1
scripts,file_to_s3.py,Simple Assignment,30,30,4,A1
scripts,file_to_s3.py,Import,1,1,0,A2
scripts,file_to_s3.py,Import,2,2,0,A2
scripts,file_to_s3.py,Import,3,3,0,A2
scripts,file_to_s3.py,Import,5,5,0,A2
scripts,file_to_s3.py,Import,9,9,0,A2
scripts,file_to_s3.py,From,4,4,0,A2
scripts,file_to_s3.py,From,7,7,0,A2
scripts,file_to_s3.py,If statements using → __name__ == ‘__main__’,43,44,0,B2
scripts,file_to_s3.py,Exception --> try/except,32,39,4,B1
scripts,file_to_s3.py,Function with Simple argument,19,41,0,A1
