Repository,File Name,Class,Start Line,End Line,Displacement,Level
blocks,footnote.py,Super Function,21,21,15,C2
blocks,footnote.py,Super Function,17,17,19,C2
blocks,footnote.py,Simple Atributte,6,6,29,A2
blocks,footnote.py,Simple Atributte,16,16,11,A2
blocks,footnote.py,Simple Atributte,21,21,15,A2
blocks,footnote.py,Simple Atributte,17,17,19,A2
blocks,footnote.py,From,1,1,0,A2
blocks,footnote.py,From,2,2,0,A2
blocks,footnote.py,Simple If statements,16,19,8,A1
blocks,footnote.py,Function with Simple argument with Default argument,13,23,4,A2
blocks,footnote.py,Return,21,23,8,A1
blocks,footnote.py,Return,17,19,12,A1
blocks,footnote.py,Inherited Class from Block,5,23,0,B1
