Repository,File Name,Class,Start Line,End Line,Displacement,Level
renderers,html.py,Simple List,54,54,34,A1
renderers,html.py,Simple Tuple,37,37,8,A1
renderers,html.py,Simple Tuple,35,36,8,A1
renderers,html.py,Simple Tuple,39,40,8,A1
renderers,html.py,Simple Tuple,141,141,15,A1
renderers,html.py,Simple Tuple,145,145,8,A1
renderers,html.py,Simple Tuple,93,93,20,A1
renderers,html.py,Simple Dictionary,86,86,17,A2
renderers,html.py,Simple Dictionary,89,89,25,A2
renderers,html.py,Simple Atributte,20,20,0,A2
renderers,html.py,Simple Atributte,17,17,0,A2
renderers,html.py,Simple Atributte,37,37,9,A2
renderers,html.py,Simple Atributte,57,57,11,A2
renderers,html.py,Simple Atributte,44,44,22,A2
renderers,html.py,Simple Atributte,45,45,18,A2
renderers,html.py,Simple Atributte,54,54,11,A2
renderers,html.py,Simple Atributte,60,60,27,A2
renderers,html.py,Simple Atributte,82,82,29,A2
renderers,html.py,Simple Atributte,84,84,23,A2
renderers,html.py,Simple Atributte,91,91,24,A2
renderers,html.py,Simple Atributte,144,144,26,A2
renderers,html.py,Simple Atributte,144,144,42,A2
renderers,html.py,Simple Atributte,145,145,28,A2
renderers,html.py,Simple Atributte,147,147,20,A2
renderers,html.py,Simple Atributte,54,54,35,A2
renderers,html.py,Simple Atributte,54,54,52,A2
renderers,html.py,Simple Atributte,70,70,17,A2
renderers,html.py,Simple Atributte,88,88,18,A2
renderers,html.py,Simple Atributte,98,98,15,A2
renderers,html.py,Simple Atributte,98,98,42,A2
renderers,html.py,Simple Atributte,99,99,19,A2
renderers,html.py,Simple Atributte,124,124,21,A2
renderers,html.py,Simple Atributte,125,125,21,A2
renderers,html.py,Simple Atributte,126,126,21,A2
renderers,html.py,Simple Atributte,129,129,21,A2
renderers,html.py,Simple Atributte,46,46,30,A2
renderers,html.py,Simple Atributte,61,61,48,A2
renderers,html.py,Simple Atributte,92,92,19,A2
renderers,html.py,Simple Atributte,95,95,44,A2
