Repository,File Name,Class,Start Line,End Line,Displacement,Level
utils,image.py,Simple List,18,18,25,A1
utils,image.py,Simple Tuple,30,30,4,A1
utils,image.py,Simple Tuple,23,23,34,A1
utils,image.py,Simple Tuple,37,37,21,A1
utils,image.py,'range' call function,34,34,13,A2
utils,image.py,Simple Atributte,6,6,26,A2
utils,image.py,Simple Atributte,7,7,12,A2
utils,image.py,Simple Atributte,22,22,11,A2
utils,image.py,Simple Atributte,22,22,31,A2
utils,image.py,Simple Atributte,23,23,11,A2
utils,image.py,Simple Atributte,26,26,16,A2
utils,image.py,Simple Atributte,27,27,19,A2
utils,image.py,Simple Atributte,27,27,51,A2
utils,image.py,Simple Atributte,30,30,35,A2
utils,image.py,Simple Atributte,33,33,14,A2
utils,image.py,Simple Atributte,37,37,13,A2
utils,image.py,Simple Atributte,37,37,29,A2
utils,image.py,Simple Atributte,38,38,14,A2
utils,image.py,Simple Atributte,10,10,11,A2
utils,image.py,Simple Atributte,11,11,11,A2
utils,image.py,Simple Atributte,12,12,11,A2
utils,image.py,Simple Atributte,40,40,16,A2
utils,image.py,Simple List Comprehension,18,18,24,C1
utils,image.py,Simple Assignment,7,7,4,A1
utils,image.py,Simple Assignment,22,22,4,A1
utils,image.py,Simple Assignment,23,23,4,A1
utils,image.py,Simple Assignment,26,28,4,A1
utils,image.py,Simple Assignment,30,32,4,A1
utils,image.py,Simple Assignment,33,33,4,A1
utils,image.py,Simple Assignment,37,37,4,A1
utils,image.py,Simple Assignment,38,38,4,A1
utils,image.py,Assigment with sum (total = total + 1),39,39,4,A1
utils,image.py,Simple Assignment,18,18,8,A1
utils,image.py,Simple Assignment,35,35,8,A1
utils,image.py,Import with 'as' extension ,2,2,0,B1
utils,image.py,Import,3,3,0,A2
utils,image.py,From,1,1,0,A2
utils,image.py,From,4,4,0,A2
utils,image.py,Simple If statements,8,15,4,A1
utils,image.py,Simple If statements,17,20,4,A1
utils,image.py,Simple If statements,19,20,8,A1
utils,image.py,Simple For Loop,34,35,4,A1
utils,image.py,Function with Simple argument with Default argument,6,40,0,A2
utils,image.py,Return,40,40,4,A1
utils,image.py,Return,15,15,8,A1
utils,image.py,Return,20,20,12,A1
