Repository,File Name,Class,Start Line,End Line,Displacement,Level
blocks,inlinemath.py,Super Function,24,24,19,C2
blocks,inlinemath.py,Super Function,20,20,19,C2
blocks,inlinemath.py,Simple Atributte,6,6,29,A2
blocks,inlinemath.py,Simple Atributte,16,16,11,A2
blocks,inlinemath.py,Simple Atributte,19,19,11,A2
blocks,inlinemath.py,Simple Atributte,30,30,11,A2
blocks,inlinemath.py,Simple Atributte,33,33,11,A2
blocks,inlinemath.py,Simple Atributte,24,24,19,A2
blocks,inlinemath.py,Simple Atributte,27,27,19,A2
blocks,inlinemath.py,Simple Atributte,20,20,19,A2
blocks,inlinemath.py,Simple Atributte,29,29,34,A2
blocks,inlinemath.py,Simple Atributte,35,35,49,A2
blocks,inlinemath.py,Simple Atributte,36,36,50,A2
blocks,inlinemath.py,Simple Assignment,24,26,8,A1
blocks,inlinemath.py,Simple Assignment,27,27,8,A1
blocks,inlinemath.py,Simple Assignment,29,29,8,A1
blocks,inlinemath.py,Assigment with sum (total = total + 1),35,35,12,A1
blocks,inlinemath.py,Assigment with sum (total = total + 1),36,36,12,A1
blocks,inlinemath.py,Simplified incremental Assignment with increase amount,31,31,12,A2
blocks,inlinemath.py,From,1,1,0,A2
blocks,inlinemath.py,From,2,2,0,A2
blocks,inlinemath.py,Simple If statements,16,17,8,A1
blocks,inlinemath.py,Simple If statements,19,22,8,A1
blocks,inlinemath.py,Simple If statements,30,31,8,A1
blocks,inlinemath.py,Simple If statements,33,39,8,A1
blocks,inlinemath.py,Function with Simple argument with Default argument,13,39,4,A2
blocks,inlinemath.py,Return,17,17,12,A1
blocks,inlinemath.py,Return,20,22,12,A1
blocks,inlinemath.py,Return,37,37,12,A1
blocks,inlinemath.py,Return,39,39,12,A1
blocks,inlinemath.py,Inherited Class from Block,5,39,0,B1
