Repository,File Name,Class,Start Line,End Line,Displacement,Level
builders,layout.py,Simple List,37,41,8,A1
builders,layout.py,Simple List,68,68,25,A1
builders,layout.py,Simple List,157,157,33,A1
builders,layout.py,Simple List,161,161,32,A1
builders,layout.py,Simple List,73,80,27,A1
builders,layout.py,Simple Tuple,22,24,8,A1
builders,layout.py,Simple Tuple,27,28,8,A1
builders,layout.py,Simple Tuple,31,32,8,A1
builders,layout.py,Simple Tuple,35,36,8,A1
builders,layout.py,Simple Tuple,43,43,8,A1
builders,layout.py,Simple Tuple,134,134,12,A1
builders,layout.py,Simple Tuple,147,147,32,A1
builders,layout.py,Simple Tuple,129,129,36,A1
builders,layout.py,Simple Tuple,150,150,24,A1
builders,layout.py,Simple Tuple,107,107,40,A1
builders,layout.py,Simple Dictionary,77,77,34,A2
builders,layout.py,'zip' call function,134,134,35,C2
builders,layout.py,Super Function,49,49,8,C2
builders,layout.py,If statements expression (else),118,118,24,B1
builders,layout.py,If statements expression (else),121,123,24,B1
builders,layout.py,Simple Atributte,38,38,8,A2
builders,layout.py,Simple Atributte,39,39,8,A2
builders,layout.py,Simple Atributte,40,40,8,A2
builders,layout.py,Simple Atributte,47,47,8,A2
builders,layout.py,Simple Atributte,87,87,8,A2
builders,layout.py,Simple Atributte,87,87,41,A2
builders,layout.py,Simple Atributte,95,95,20,A2
builders,layout.py,Simple Atributte,49,49,8,A2
builders,layout.py,Simple Atributte,52,52,11,A2
builders,layout.py,Simple Atributte,57,57,8,A2
builders,layout.py,Simple Atributte,57,57,33,A2
builders,layout.py,Simple Atributte,58,58,8,A2
builders,layout.py,Simple Atributte,61,61,11,A2
builders,layout.py,Simple Atributte,62,62,19,A2
builders,layout.py,Simple Atributte,87,87,8,A2
builders,layout.py,Simple Atributte,88,88,25,A2
builders,layout.py,Simple Atributte,98,98,24,A2
builders,layout.py,Simple Atributte,100,100,28,A2
builders,layout.py,Simple Atributte,135,135,31,A2
builders,layout.py,Simple Atributte,136,136,33,A2
builders,layout.py,Simple Atributte,137,137,12,A2
builders,layout.py,Simple Atributte,138,138,16,A2
builders,layout.py,Simple Atributte,54,54,29,A2
builders,layout.py,Simple Atributte,54,54,48,A2
builders,layout.py,Simple Atributte,56,56,29,A2
builders,layout.py,Simple Atributte,56,56,47,A2
builders,layout.py,Simple Atributte,63,63,13,A2
builders,layout.py,Simple Atributte,70,70,12,A2
builders,layout.py,Simple Atributte,98,98,24,A2
builders,layout.py,Simple Atributte,136,136,33,A2
builders,layout.py,Simple Atributte,140,140,31,A2
builders,layout.py,Simple Atributte,145,145,16,A2
builders,layout.py,Simple Atributte,148,148,16,A2
builders,layout.py,Simple Atributte,156,156,15,A2
builders,layout.py,Simple Atributte,157,157,16,A2
