Repository,File Name,Class,Start Line,End Line,Displacement,Level
.,levels.py,Simple List,9,9,15,A1
.,levels.py,Simple List,11,11,13,A1
.,levels.py,Simple List,172,172,17,A1
.,levels.py,Simple List,174,174,18,A1
.,levels.py,Simple List,176,176,18,A1
.,levels.py,Simple List,434,434,14,A1
.,levels.py,Simple List,513,513,18,A1
.,levels.py,Simple List,570,570,16,A1
.,levels.py,Simple List,473,473,17,A1
.,levels.py,Simple List,295,295,27,A1
.,levels.py,Simple List,376,376,30,A1
.,levels.py,Simple List,379,379,34,A1
.,levels.py,Simple List,387,387,36,A1
.,levels.py,Simple List,664,664,31,A1
.,levels.py,Simple List,667,667,29,A1
.,levels.py,Simple List,670,670,32,A1
.,levels.py,Simple List,102,102,44,A1
.,levels.py,Files --> 'open' call function,14,14,5,A2
.,levels.py,Files --> 'read' call function,17,17,16,A2
.,levels.py,'range' call function,99,99,13,A2
.,levels.py,'range' call function,439,439,13,A2
.,levels.py,'range' call function,594,594,13,A2
.,levels.py,'range' call function,120,120,17,A2
.,levels.py,'range' call function,583,583,17,A2
.,levels.py,'range' call function,606,606,17,A2
.,levels.py,'range' call function,210,210,17,A2
.,levels.py,'range' call function,442,442,21,A2
.,levels.py,Simple Atributte,97,97,4,A2
.,levels.py,Simple Atributte,98,98,4,A2
.,levels.py,Simple Atributte,141,141,13,A2
.,levels.py,Simple Atributte,162,162,13,A2
.,levels.py,Simple Atributte,220,220,4,A2
.,levels.py,Simple Atributte,221,221,4,A2
.,levels.py,Simple Atributte,305,305,4,A2
.,levels.py,Simple Atributte,306,306,4,A2
.,levels.py,Simple Atributte,311,311,4,A2
.,levels.py,Simple Atributte,312,312,4,A2
.,levels.py,Simple Atributte,317,317,4,A2
.,levels.py,Simple Atributte,318,318,4,A2
.,levels.py,Simple Atributte,327,327,4,A2
.,levels.py,Simple Atributte,328,328,4,A2
.,levels.py,Simple Atributte,358,358,4,A2
.,levels.py,Simple Atributte,363,363,4,A2
.,levels.py,Simple Atributte,364,364,4,A2
.,levels.py,Simple Atributte,398,398,4,A2
.,levels.py,Simple Atributte,399,399,4,A2
.,levels.py,Simple Atributte,404,404,4,A2
.,levels.py,Simple Atributte,405,405,4,A2
.,levels.py,Simple Atributte,422,422,4,A2
.,levels.py,Simple Atributte,423,423,4,A2
.,levels.py,Simple Atributte,429,429,4,A2
.,levels.py,Simple Atributte,430,430,4,A2
.,levels.py,Simple Atributte,452,452,13,A2
.,levels.py,Simple Atributte,465,465,13,A2
.,levels.py,Simple Atributte,490,490,17,A2
.,levels.py,Simple Atributte,507,507,13,A2
.,levels.py,Simple Atributte,518,518,16,A2
.,levels.py,Simple Atributte,526,526,16,A2
.,levels.py,Simple Atributte,539,539,4,A2
.,levels.py,Simple Atributte,540,540,4,A2
.,levels.py,Simple Atributte,542,542,13,A2
.,levels.py,Simple Atributte,575,575,4,A2
.,levels.py,Simple Atributte,576,576,4,A2
.,levels.py,Simple Atributte,604,604,13,A2
.,levels.py,Simple Atributte,647,647,4,A2
.,levels.py,Simple Atributte,648,648,4,A2
.,levels.py,Simple Atributte,653,653,4,A2
.,levels.py,Simple Atributte,654,654,4,A2
.,levels.py,Simple Atributte,660,660,4,A2
.,levels.py,Simple Atributte,677,677,4,A2
.,levels.py,Simple Atributte,678,678,4,A2
.,levels.py,Simple Atributte,683,683,4,A2
.,levels.py,Simple Atributte,684,684,4,A2
.,levels.py,Simple Atributte,689,689,4,A2
.,levels.py,Simple Atributte,690,690,4,A2
.,levels.py,Simple Atributte,17,17,16,A2
.,levels.py,Simple Atributte,23,23,7,A2
.,levels.py,Simple Atributte,82,82,8,A2
.,levels.py,Simple Atributte,83,83,8,A2
.,levels.py,Simple Atributte,117,117,8,A2
.,levels.py,Simple Atributte,118,118,8,A2
.,levels.py,Simple Atributte,141,141,13,A2
.,levels.py,Simple Atributte,151,151,8,A2
.,levels.py,Simple Atributte,152,152,8,A2
.,levels.py,Simple Atributte,162,162,13,A2
.,levels.py,Simple Atributte,206,206,8,A2
.,levels.py,Simple Atributte,207,207,8,A2
.,levels.py,Simple Atributte,227,227,7,A2
.,levels.py,Simple Atributte,228,228,8,A2
.,levels.py,Simple Atributte,229,229,8,A2
.,levels.py,Simple Atributte,234,234,8,A2
.,levels.py,Simple Atributte,241,241,8,A2
.,levels.py,Simple Atributte,255,255,17,A2
.,levels.py,Simple Atributte,266,266,7,A2
.,levels.py,Simple Atributte,267,267,8,A2
.,levels.py,Simple Atributte,268,268,8,A2
.,levels.py,Simple Atributte,281,281,7,A2
.,levels.py,Simple Atributte,295,295,7,A2
.,levels.py,Simple Atributte,296,296,8,A2
.,levels.py,Simple Atributte,297,297,8,A2
.,levels.py,Simple Atributte,299,299,8,A2
.,levels.py,Simple Atributte,300,300,8,A2
.,levels.py,Simple Atributte,331,331,8,A2
.,levels.py,Simple Atributte,332,332,8,A2
.,levels.py,Simple Atributte,334,334,8,A2
.,levels.py,Simple Atributte,336,336,8,A2
.,levels.py,Simple Atributte,338,338,8,A2
.,levels.py,Simple Atributte,340,340,8,A2
.,levels.py,Simple Atributte,351,351,8,A2
.,levels.py,Simple Atributte,376,376,7,A2
.,levels.py,Simple Atributte,377,377,8,A2
.,levels.py,Simple Atributte,379,379,7,A2
.,levels.py,Simple Atributte,380,380,8,A2
.,levels.py,Simple Atributte,381,381,8,A2
.,levels.py,Simple Atributte,383,383,7,A2
.,levels.py,Simple Atributte,384,384,8,A2
.,levels.py,Simple Atributte,385,385,8,A2
.,levels.py,Simple Atributte,387,387,7,A2
.,levels.py,Simple Atributte,388,388,8,A2
.,levels.py,Simple Atributte,389,389,8,A2
.,levels.py,Simple Atributte,391,391,7,A2
.,levels.py,Simple Atributte,392,392,8,A2
.,levels.py,Simple Atributte,393,393,8,A2
.,levels.py,Simple Atributte,410,410,13,A2
.,levels.py,Simple Atributte,410,410,22,A2
.,levels.py,Simple Atributte,452,452,13,A2
.,levels.py,Simple Atributte,462,462,8,A2
.,levels.py,Simple Atributte,463,463,8,A2
.,levels.py,Simple Atributte,465,465,13,A2
.,levels.py,Simple Atributte,474,474,7,A2
.,levels.py,Simple Atributte,475,475,8,A2
.,levels.py,Simple Atributte,476,476,8,A2
.,levels.py,Simple Atributte,477,477,17,A2
.,levels.py,Simple Atributte,480,480,8,A2
.,levels.py,Simple Atributte,481,481,8,A2
.,levels.py,Simple Atributte,490,490,17,A2
.,levels.py,Simple Atributte,507,507,13,A2
.,levels.py,Simple Atributte,518,518,16,A2
.,levels.py,Simple Atributte,526,526,16,A2
.,levels.py,Simple Atributte,542,542,13,A2
.,levels.py,Simple Atributte,581,581,7,A2
.,levels.py,Simple Atributte,604,604,13,A2
.,levels.py,Simple Atributte,616,616,7,A2
.,levels.py,Simple Atributte,626,626,17,A2
