Repository,File Name,Class,Start Line,End Line,Displacement,Level
text,line.py,Simple List,105,105,24,A1
text,line.py,Simple List,126,126,42,A1
text,line.py,Simple List,121,121,21,A1
text,line.py,Simple Tuple,48,48,53,A1
text,line.py,Simple Tuple,62,62,53,A1
text,line.py,Simple Atributte,40,40,29,A2
text,line.py,Simple Atributte,14,14,11,A2
text,line.py,Simple Atributte,28,28,19,A2
text,line.py,Simple Atributte,28,28,56,A2
text,line.py,Simple Atributte,29,29,33,A2
text,line.py,Simple Atributte,126,126,8,A2
text,line.py,Simple Atributte,18,18,19,A2
text,line.py,Simple Atributte,33,33,7,A2
text,line.py,Simple Atributte,48,48,21,A2
text,line.py,Simple Atributte,50,50,25,A2
text,line.py,Simple Atributte,51,51,15,A2
text,line.py,Simple Atributte,58,58,15,A2
text,line.py,Simple Atributte,62,62,21,A2
text,line.py,Simple Atributte,65,65,15,A2
text,line.py,Simple Atributte,73,73,15,A2
text,line.py,Simple Atributte,87,87,24,A2
text,line.py,Simple Atributte,89,89,19,A2
text,line.py,Simple Atributte,90,90,24,A2
text,line.py,Simple Atributte,90,90,47,A2
text,line.py,Simple Atributte,107,107,28,A2
text,line.py,Simple Atributte,126,126,23,A2
text,line.py,Simple Atributte,129,129,11,A2
text,line.py,Simple Atributte,130,130,12,A2
text,line.py,Simple Atributte,130,130,29,A2
text,line.py,Simple Atributte,135,135,11,A2
text,line.py,Simple Atributte,136,136,12,A2
text,line.py,Simple Atributte,136,136,27,A2
text,line.py,Simple Atributte,48,48,54,A2
text,line.py,Simple Atributte,53,53,17,A2
text,line.py,Simple Atributte,62,62,54,A2
text,line.py,Simple Atributte,63,63,25,A2
text,line.py,Simple Atributte,63,63,37,A2
text,line.py,Simple Atributte,70,70,15,A2
text,line.py,Simple Atributte,75,75,17,A2
text,line.py,Simple Atributte,93,93,24,A2
text,line.py,Simple Atributte,94,94,33,A2
text,line.py,Simple Atributte,97,97,23,A2
text,line.py,Simple Atributte,106,106,11,A2
text,line.py,Simple Atributte,119,119,20,A2
text,line.py,Simple Atributte,120,120,15,A2
text,line.py,Simple Atributte,126,126,23,A2
text,line.py,Simple Atributte,126,126,43,A2
text,line.py,Simple Atributte,131,131,13,A2
text,line.py,Simple Atributte,132,132,12,A2
text,line.py,Simple Atributte,137,137,13,A2
text,line.py,Simple Atributte,138,138,12,A2
text,line.py,Simple Atributte,22,22,55,A2
text,line.py,Simple Atributte,66,66,29,A2
text,line.py,Simple Atributte,77,77,17,A2
text,line.py,Simple Atributte,106,106,46,A2
text,line.py,Simple Atributte,108,108,24,A2
text,line.py,Simple Atributte,109,109,16,A2
text,line.py,Simple Atributte,116,116,17,A2
text,line.py,Simple Atributte,132,132,29,A2
text,line.py,Simple Atributte,132,132,46,A2
text,line.py,Simple Atributte,22,22,20,A2
text,line.py,Simple Atributte,71,71,41,A2
text,line.py,Simple Atributte,110,110,20,A2
text,line.py,Simple Atributte,138,138,36,A2
text,line.py,Simple Atributte,138,138,51,A2
