Repository,File Name,Class,Start Line,End Line,Displacement,Level
renderers,markdown.py,Simple List,30,30,11,A1
renderers,markdown.py,Simple List,125,125,19,A1
renderers,markdown.py,Simple List,180,180,25,A1
renderers,markdown.py,Simple List,181,181,21,A1
renderers,markdown.py,Simple List,200,200,19,A1
renderers,markdown.py,Simple List,91,91,29,A1
renderers,markdown.py,Simple List,129,129,37,A1
renderers,markdown.py,Simple List,143,143,36,A1
renderers,markdown.py,Simple List,246,246,30,A1
renderers,markdown.py,Simple List,253,253,59,A1
renderers,markdown.py,Simple Tuple,48,48,8,A1
renderers,markdown.py,Simple Tuple,272,272,8,A1
renderers,markdown.py,Simple Tuple,275,275,8,A1
renderers,markdown.py,Simple Tuple,127,127,12,A1
renderers,markdown.py,Simple Tuple,141,141,12,A1
renderers,markdown.py,Simple Tuple,194,194,12,A1
renderers,markdown.py,Simple Tuple,268,268,8,A1
renderers,markdown.py,Simple Tuple,271,271,8,A1
renderers,markdown.py,Simple Tuple,274,274,8,A1
renderers,markdown.py,Simple Tuple,277,277,8,A1
renderers,markdown.py,Simple Tuple,300,300,8,A1
renderers,markdown.py,Simple Tuple,183,183,16,A1
renderers,markdown.py,Simple Tuple,201,201,16,A1
renderers,markdown.py,'enumerate' call function,48,48,16,C2
renderers,markdown.py,'enumerate' call function,127,127,22,C2
renderers,markdown.py,'enumerate' call function,141,141,27,C2
renderers,markdown.py,'enumerate' call function,194,194,22,C2
renderers,markdown.py,'enumerate' call function,183,183,33,C2
renderers,markdown.py,'enumerate' call function,201,201,33,C2
renderers,markdown.py,Super Function,68,68,8,C2
renderers,markdown.py,'range' call function,132,132,25,A2
renderers,markdown.py,'range' call function,139,139,59,A2
renderers,markdown.py,'range' call function,162,162,25,A2
renderers,markdown.py,Super Function,224,224,15,C2
renderers,markdown.py,Super Function,233,233,15,C2
renderers,markdown.py,'range' call function,139,139,31,A2
renderers,markdown.py,'range' call function,163,163,29,A2
renderers,markdown.py,If statements expression (else),99,99,15,B1
renderers,markdown.py,If statements expression (else),137,137,21,B1
renderers,markdown.py,Simple Atributte,31,31,19,A2
