Repository,File Name,Class,Start Line,End Line,Displacement,Level
examples,marker_modal_deployment.py,Simple List,19,27,17,A1
examples,marker_modal_deployment.py,Simple List,43,43,82,A1
examples,marker_modal_deployment.py,Simple List,164,164,80,A1
examples,marker_modal_deployment.py,Simple List,200,200,36,A1
examples,marker_modal_deployment.py,Simple List,17,17,17,A1
examples,marker_modal_deployment.py,Simple List,283,283,65,A1
examples,marker_modal_deployment.py,Simple Tuple,371,371,29,A1
examples,marker_modal_deployment.py,Simple Tuple,253,253,20,A1
examples,marker_modal_deployment.py,Simple Tuple,262,262,24,A1
examples,marker_modal_deployment.py,Simple Dictionary,73,73,12,A2
examples,marker_modal_deployment.py,Simple Dictionary,101,101,12,A2
examples,marker_modal_deployment.py,Simple Dictionary,18,18,9,A2
examples,marker_modal_deployment.py,Simple Dictionary,166,173,19,A2
examples,marker_modal_deployment.py,Simple Dictionary,371,371,20,A2
examples,marker_modal_deployment.py,Simple Dictionary,372,372,19,A2
examples,marker_modal_deployment.py,Simple Dictionary,216,223,25,A2
examples,marker_modal_deployment.py,Simple Dictionary,246,246,33,A2
examples,marker_modal_deployment.py,Simple Dictionary,274,284,36,A2
examples,marker_modal_deployment.py,Print,348,348,4,A1
examples,marker_modal_deployment.py,Print,349,349,4,A1
examples,marker_modal_deployment.py,Print,324,324,8,A1
examples,marker_modal_deployment.py,Print,329,329,8,A1
examples,marker_modal_deployment.py,Print,342,342,8,A1
examples,marker_modal_deployment.py,Print,357,357,8,A1
examples,marker_modal_deployment.py,Print,358,358,8,A1
examples,marker_modal_deployment.py,Print,344,344,8,A1
examples,marker_modal_deployment.py,Print,345,345,8,A1
examples,marker_modal_deployment.py,Print,361,361,12,A1
examples,marker_modal_deployment.py,Print,364,364,8,A1
examples,marker_modal_deployment.py,Files --> 'open' call function,370,370,13,A2
examples,marker_modal_deployment.py,Print,374,374,12,A1
examples,marker_modal_deployment.py,Print,379,379,12,A1
examples,marker_modal_deployment.py,Print,380,380,12,A1
examples,marker_modal_deployment.py,Print,381,381,12,A1
examples,marker_modal_deployment.py,Print,382,382,12,A1
examples,marker_modal_deployment.py,Print,387,387,12,A1
examples,marker_modal_deployment.py,Print,393,393,12,A1
examples,marker_modal_deployment.py,Print,394,394,12,A1
examples,marker_modal_deployment.py,Print,397,397,8,A1
examples,marker_modal_deployment.py,Files --> 'open' call function,385,385,17,A2
examples,marker_modal_deployment.py,Print,390,390,16,A1
examples,marker_modal_deployment.py,Files --> 'read' call function,208,208,37,A2
examples,marker_modal_deployment.py,Files --> 'open' call function,212,212,21,A2
examples,marker_modal_deployment.py,Files --> 'write' call function,213,213,20,A2
examples,marker_modal_deployment.py,If statements expression (else),43,43,26,B1
examples,marker_modal_deployment.py,If statements expression (else),160,160,26,B1
examples,marker_modal_deployment.py,If statements expression (else),164,164,29,B1
examples,marker_modal_deployment.py,If statements expression (else),167,167,26,B1
examples,marker_modal_deployment.py,If statements expression (else),235,235,32,B1
examples,marker_modal_deployment.py,Simple Atributte,10,10,6,A2
examples,marker_modal_deployment.py,Simple Atributte,16,19,4,A2
examples,marker_modal_deployment.py,Simple Atributte,31,31,16,A2
examples,marker_modal_deployment.py,Simple Atributte,71,71,1,A2
examples,marker_modal_deployment.py,Simple Atributte,96,96,1,A2
examples,marker_modal_deployment.py,Simple Atributte,307,307,1,A2
examples,marker_modal_deployment.py,Simple Atributte,31,31,16,A2
examples,marker_modal_deployment.py,Simple Atributte,42,42,24,A2
examples,marker_modal_deployment.py,Simple Atributte,45,45,4,A2
examples,marker_modal_deployment.py,Simple Atributte,46,46,4,A2
examples,marker_modal_deployment.py,Simple Atributte,55,55,4,A2
examples,marker_modal_deployment.py,Simple Atributte,58,58,7,A2
examples,marker_modal_deployment.py,Simple Atributte,83,83,4,A2
examples,marker_modal_deployment.py,Simple Atributte,84,84,13,A2
examples,marker_modal_deployment.py,Simple Atributte,86,86,4,A2
examples,marker_modal_deployment.py,Simple Atributte,87,87,4,A2
examples,marker_modal_deployment.py,Simple Atributte,105,105,5,A2
examples,marker_modal_deployment.py,Simple Atributte,122,122,5,A2
examples,marker_modal_deployment.py,Simple Atributte,16,18,4,A2
examples,marker_modal_deployment.py,Simple Atributte,42,42,24,A2
examples,marker_modal_deployment.py,Simple Atributte,43,43,26,A2
examples,marker_modal_deployment.py,Simple Atributte,49,49,8,A2
examples,marker_modal_deployment.py,Simple Atributte,51,51,8,A2
examples,marker_modal_deployment.py,Simple Atributte,58,58,7,A2
examples,marker_modal_deployment.py,Simple Atributte,59,59,19,A2
examples,marker_modal_deployment.py,Simple Atributte,60,60,8,A2
examples,marker_modal_deployment.py,Simple Atributte,64,64,8,A2
examples,marker_modal_deployment.py,Simple Atributte,65,65,8,A2
examples,marker_modal_deployment.py,Simple Atributte,66,66,8,A2
examples,marker_modal_deployment.py,Simple Atributte,67,67,8,A2
examples,marker_modal_deployment.py,Simple Atributte,83,83,30,A2
examples,marker_modal_deployment.py,Simple Atributte,111,111,8,A2
examples,marker_modal_deployment.py,Simple Atributte,112,112,17,A2
examples,marker_modal_deployment.py,Simple Atributte,114,114,8,A2
examples,marker_modal_deployment.py,Simple Atributte,116,116,12,A2
examples,marker_modal_deployment.py,Simple Atributte,139,139,8,A2
examples,marker_modal_deployment.py,Simple Atributte,140,140,17,A2
examples,marker_modal_deployment.py,Simple Atributte,157,157,9,A2
examples,marker_modal_deployment.py,Simple Atributte,175,175,9,A2
examples,marker_modal_deployment.py,Simple Atributte,328,328,11,A2
examples,marker_modal_deployment.py,Simple Atributte,336,336,18,A2
examples,marker_modal_deployment.py,Simple Atributte,341,341,18,A2
examples,marker_modal_deployment.py,Simple Atributte,355,355,26,A2
examples,marker_modal_deployment.py,Simple Atributte,356,356,22,A2
examples,marker_modal_deployment.py,Simple Atributte,377,377,11,A2
examples,marker_modal_deployment.py,Simple Atributte,93,93,8,A2
examples,marker_modal_deployment.py,Simple Atributte,111,111,34,A2
examples,marker_modal_deployment.py,Simple Atributte,120,120,12,A2
examples,marker_modal_deployment.py,Simple Atributte,139,139,34,A2
examples,marker_modal_deployment.py,Simple Atributte,145,145,12,A2
examples,marker_modal_deployment.py,Simple Atributte,147,147,12,A2
examples,marker_modal_deployment.py,Simple Atributte,163,163,27,A2
examples,marker_modal_deployment.py,Simple Atributte,192,192,23,A2
examples,marker_modal_deployment.py,Simple Atributte,267,267,27,A2
examples,marker_modal_deployment.py,Simple Atributte,336,336,18,A2
examples,marker_modal_deployment.py,Simple Atributte,341,341,18,A2
examples,marker_modal_deployment.py,Simple Atributte,348,348,36,A2
examples,marker_modal_deployment.py,Simple Atributte,375,375,23,A2
examples,marker_modal_deployment.py,Simple Atributte,378,378,21,A2
examples,marker_modal_deployment.py,Simple Atributte,16,17,4,A2
examples,marker_modal_deployment.py,Simple Atributte,118,118,12,A2
examples,marker_modal_deployment.py,Simple Atributte,119,119,12,A2
examples,marker_modal_deployment.py,Simple Atributte,159,159,56,A2
examples,marker_modal_deployment.py,Simple Atributte,160,160,30,A2
examples,marker_modal_deployment.py,Simple Atributte,163,163,27,A2
examples,marker_modal_deployment.py,Simple Atributte,164,164,29,A2
examples,marker_modal_deployment.py,Simple Atributte,186,186,46,A2
examples,marker_modal_deployment.py,Simple Atributte,187,187,16,A2
