Repository,File Name,Class,Start Line,End Line,Displacement,Level
marker,output.py,Simple List,48,48,11,A1
marker,output.py,Simple List,63,63,48,A1
marker,output.py,Simple List,65,65,48,A1
marker,output.py,Simple List,67,67,48,A1
marker,output.py,Simple Tuple,81,81,4,A1
marker,output.py,Simple Tuple,99,99,8,A1
marker,output.py,Simple Tuple,59,59,15,A1
marker,output.py,Simple Tuple,61,61,15,A1
marker,output.py,Simple Tuple,63,63,15,A1
marker,output.py,Simple Tuple,65,65,15,A1
marker,output.py,Simple Tuple,67,67,15,A1
marker,output.py,Simple Tuple,69,69,15,A1
marker,output.py,Simple Dictionary,63,63,81,A2
marker,output.py,Simple Dictionary,65,65,81,A2
marker,output.py,Simple Dictionary,67,67,81,A2
marker,output.py,Simple Dictionary,69,69,47,A2
marker,output.py,Files --> 'open' call function,86,90,9,A2
marker,output.py,Files --> 'write' call function,91,91,8,A2
marker,output.py,Files --> 'open' call function,92,96,9,A2
marker,output.py,Files --> 'write' call function,97,97,8,A2
marker,output.py,Simple Atributte,74,74,46,A2
marker,output.py,Simple Atributte,19,19,20,A2
marker,output.py,Simple Atributte,30,30,15,A2
marker,output.py,Simple Atributte,74,74,30,A2
marker,output.py,Simple Atributte,75,75,7,A2
marker,output.py,Simple Atributte,82,82,11,A2
marker,output.py,Simple Atributte,83,83,8,A2
marker,output.py,Simple Atributte,99,99,25,A2
marker,output.py,Simple Atributte,20,20,63,A2
marker,output.py,Simple Atributte,22,22,8,A2
marker,output.py,Simple Atributte,33,33,21,A2
marker,output.py,Simple Atributte,35,35,29,A2
marker,output.py,Simple Atributte,36,36,23,A2
marker,output.py,Simple Atributte,50,50,11,A2
marker,output.py,Simple Atributte,59,59,15,A2
marker,output.py,Simple Atributte,59,59,40,A2
marker,output.py,Simple Atributte,76,76,16,A2
marker,output.py,Simple Atributte,91,91,8,A2
marker,output.py,Simple Atributte,97,97,8,A2
marker,output.py,Simple Atributte,101,101,8,A2
marker,output.py,Simple Atributte,101,101,53,A2
marker,output.py,Simple Atributte,22,22,8,A2
marker,output.py,Simple Atributte,32,32,55,A2
marker,output.py,Simple Atributte,33,33,43,A2
marker,output.py,Simple Atributte,38,38,21,A2
marker,output.py,Simple Atributte,50,50,11,A2
marker,output.py,Simple Atributte,50,50,26,A2
marker,output.py,Simple Atributte,61,61,15,A2
marker,output.py,Simple Atributte,61,61,38,A2
marker,output.py,Simple Atributte,82,82,11,A2
marker,output.py,Simple Atributte,82,82,23,A2
marker,output.py,Simple Atributte,87,87,8,A2
marker,output.py,Simple Atributte,89,89,17,A2
marker,output.py,Simple Atributte,93,93,8,A2
marker,output.py,Simple Atributte,95,95,17,A2
marker,output.py,Simple Atributte,97,97,16,A2
marker,output.py,Simple Atributte,97,97,27,A2
marker,output.py,Simple Atributte,101,101,17,A2
marker,output.py,Simple Atributte,43,43,16,A2
marker,output.py,Simple Atributte,50,50,26,A2
marker,output.py,Simple Atributte,87,87,8,A2
marker,output.py,Simple Atributte,93,93,8,A2
marker,output.py,Simple Atributte,101,101,17,A2
marker,output.py,Simple Atributte,63,63,15,A2
marker,output.py,Simple Atributte,41,41,31,A2
marker,output.py,Simple Atributte,65,65,15,A2
marker,output.py,Simple Atributte,67,67,15,A2
marker,output.py,Simple Atributte,69,69,15,A2
marker,output.py,Simple List Comprehension,32,32,21,C1
marker,output.py,Simple List Comprehension,33,33,20,C1
marker,output.py,Simple Assignment,18,18,4,A1
marker,output.py,Simple Assignment,19,19,4,A1
marker,output.py,Simple Assignment,48,48,4,A1
marker,output.py,Simple Assignment,81,81,4,A1
marker,output.py,Simple Assignment,82,84,4,A1
marker,output.py,Simple Assignment,32,32,8,A1
marker,output.py,Simple Assignment,33,33,8,A1
marker,output.py,Simple Assignment,35,35,8,A1
marker,output.py,Simple Assignment,36,36,8,A1
marker,output.py,Simple Assignment,76,76,8,A1
marker,output.py,Simple Assignment,100,100,8,A1
marker,output.py,Simple Assignment,38,38,12,A1
marker,output.py,Simple Assignment,40,42,16,A1
marker,output.py,'raise' exception,71,71,8,B1
marker,output.py,Import,1,1,0,A2
marker,output.py,Import,2,2,0,A2
marker,output.py,From,4,4,0,A2
marker,output.py,From,5,5,0,A2
marker,output.py,From,6,6,0,A2
marker,output.py,From,8,8,0,A2
marker,output.py,From,9,9,0,A2
marker,output.py,From,10,10,0,A2
marker,output.py,From,11,11,0,A2
marker,output.py,From,12,12,0,A2
marker,output.py,From,13,13,0,A2
marker,output.py,From,14,14,0,A2
marker,output.py,From,56,56,4,A2
marker,output.py,Simple If statements,20,22,4,A1
marker,output.py,Simple If statements,29,44,4,A1
marker,output.py,Simple If statements,58,71,4,A1
marker,output.py,Simple If statements,75,76,4,A1
marker,output.py,Simple If statements,50,51,8,A1
marker,output.py,Simple If statements,60,71,4,A1
marker,output.py,Simple If statements,39,43,12,A1
marker,output.py,Simple If statements,62,71,4,A1
marker,output.py,Simple If statements,64,71,4,A1
marker,output.py,Simple If statements,66,71,4,A1
marker,output.py,Simple If statements,68,71,4,A1
marker,output.py,Simple For Loop,49,51,4,A1
marker,output.py,For Loop with Tuple as name,99,101,4,A2
marker,output.py,Simple For Loop,37,43,8,A1
marker,output.py,With,86,91,4,B1
marker,output.py,With,92,97,4,B1
marker,output.py,Function with Simple argument,17,24,0,A1
marker,output.py,Recursive Functions,27,44,0,B2
marker,output.py,Function with Simple argument,47,52,0,A1
marker,output.py,Function with Simple argument,55,71,0,A1
marker,output.py,Function with Simple argument,74,77,0,A1
marker,output.py,Function with Simple argument,80,101,0,A1
marker,output.py,Return,24,24,4,A1
marker,output.py,Return,52,52,4,A1
marker,output.py,Return,77,77,4,A1
