Repository,File Name,Class,Start Line,End Line,Displacement,Level
overall,overall.py,Simple List,118,118,14,A1
overall,overall.py,Simple List,118,118,57,A1
overall,overall.py,Simple Tuple,33,33,8,A1
overall,overall.py,Simple Tuple,70,70,28,A1
overall,overall.py,Simple Dictionary,25,25,19,A2
overall,overall.py,Simple Dictionary,81,87,11,A2
overall,overall.py,Simple Dictionary,135,140,16,A2
overall,overall.py,Simple Dictionary,157,157,36,A2
overall,overall.py,Print,159,159,4,A1
overall,overall.py,'enumerate' call function,33,33,28,C2
overall,overall.py,Files --> 'open' call function,166,166,9,A2
overall,overall.py,Print,73,73,12,A1
overall,overall.py,'zip' call function,70,70,47,C2
overall,overall.py,Print,62,62,24,A1
overall,overall.py,If statements expression (else),118,118,14,B1
overall,overall.py,If statements expression (else),156,156,30,B1
overall,overall.py,Simple Atributte,89,89,1,A2
overall,overall.py,Simple Atributte,90,90,1,A2
overall,overall.py,Simple Atributte,91,91,1,A2
overall,overall.py,Simple Atributte,92,92,1,A2
overall,overall.py,Simple Atributte,93,93,1,A2
overall,overall.py,Simple Atributte,94,94,1,A2
overall,overall.py,Simple Atributte,95,95,1,A2
overall,overall.py,Simple Atributte,96,96,1,A2
overall,overall.py,Simple Atributte,97,97,1,A2
overall,overall.py,Simple Atributte,24,24,41,A2
overall,overall.py,Simple Atributte,109,109,4,A2
overall,overall.py,Simple Atributte,111,111,14,A2
overall,overall.py,Simple Atributte,121,121,18,A2
overall,overall.py,Simple Atributte,131,131,24,A2
overall,overall.py,Simple Atributte,39,39,20,A2
overall,overall.py,Simple Atributte,127,127,20,A2
overall,overall.py,Simple Atributte,133,133,28,A2
overall,overall.py,Simple Atributte,143,143,34,A2
overall,overall.py,Simple Atributte,146,146,37,A2
overall,overall.py,Simple Atributte,149,149,34,A2
overall,overall.py,Simple Atributte,153,154,16,A2
overall,overall.py,Simple Atributte,155,155,20,A2
overall,overall.py,Simple Atributte,156,156,8,A2
overall,overall.py,Simple Atributte,167,167,8,A2
overall,overall.py,Simple Atributte,173,173,8,A2
overall,overall.py,Simple Atributte,94,94,49,A2
overall,overall.py,Simple Atributte,94,94,62,A2
overall,overall.py,Simple Atributte,156,156,17,A2
overall,overall.py,Simple Atributte,94,94,49,A2
overall,overall.py,Simple Atributte,53,53,16,A2
overall,overall.py,Simple Atributte,74,74,12,A2
overall,overall.py,Simple Atributte,153,153,16,A2
overall,overall.py,Simple Atributte,67,67,20,A2
overall,overall.py,Simple Atributte,154,154,76,A2
overall,overall.py,Simple Atributte,156,156,40,A2
overall,overall.py,Simple Atributte,114,114,82,A2
overall,overall.py,Simple Atributte,124,124,88,A2
overall,overall.py,Simple Atributte,156,156,40,A2
overall,overall.py,Simple Atributte,71,71,28,A2
overall,overall.py,List Comprehension with 1If statements,119,119,15,C1
overall,overall.py,Simple Assignment,25,25,4,A1
overall,overall.py,Simple Assignment,26,26,4,A1
overall,overall.py,Simple Assignment,27,27,4,A1
overall,overall.py,Simple Assignment,28,28,4,A1
overall,overall.py,Simple Assignment,29,29,4,A1
overall,overall.py,Simple Assignment,30,30,4,A1
overall,overall.py,Simple Assignment,108,108,4,A1
overall,overall.py,Simple Assignment,111,111,4,A1
overall,overall.py,Simple Assignment,117,117,4,A1
overall,overall.py,Simple Assignment,118,118,4,A1
overall,overall.py,Simple Assignment,121,121,4,A1
overall,overall.py,Simple Assignment,131,131,4,A1
overall,overall.py,Simple Assignment,135,140,4,A1
overall,overall.py,Simple Assignment,160,160,4,A1
overall,overall.py,Simple Assignment,32,32,8,A1
overall,overall.py,Simple Assignment,37,37,8,A1
overall,overall.py,Simple Assignment,38,38,8,A1
overall,overall.py,Simple Assignment,39,39,8,A1
overall,overall.py,Simple Assignment,40,40,8,A1
overall,overall.py,Simple Assignment,41,41,8,A1
overall,overall.py,Simple Assignment,43,43,8,A1
overall,overall.py,Simple Assignment,79,79,8,A1
overall,overall.py,Simple Assignment,127,127,8,A1
overall,overall.py,Simple Assignment,129,129,8,A1
overall,overall.py,Simple Assignment,133,133,8,A1
overall,overall.py,Simple Assignment,143,143,8,A1
overall,overall.py,Simple Assignment,146,146,8,A1
overall,overall.py,Simple Assignment,149,149,8,A1
overall,overall.py,Simple Assignment,153,154,8,A1
overall,overall.py,Simple Assignment,155,155,8,A1
