Repository,File Name,Class,Start Line,End Line,Displacement,Level
groups,page.py,Simple List,198,198,21,A1
groups,page.py,Simple List,47,47,28,A1
groups,page.py,Simple List,91,91,34,A1
groups,page.py,Simple List,212,212,28,A1
groups,page.py,Simple List,214,220,16,A1
groups,page.py,Simple List,225,225,28,A1
groups,page.py,Simple List,289,289,52,A1
groups,page.py,Simple Tuple,30,33,49,A1
groups,page.py,Simple Tuple,18,18,31,A1
groups,page.py,Simple Tuple,151,151,12,A1
groups,page.py,Simple Tuple,171,171,12,A1
groups,page.py,Simple Tuple,269,269,12,A1
groups,page.py,Simple Tuple,328,328,12,A1
groups,page.py,Simple Tuple,157,160,42,A1
groups,page.py,Simple Tuple,26,26,25,A1
groups,page.py,Simple Tuple,235,235,26,A1
groups,page.py,Simple Tuple,264,264,26,A1
groups,page.py,Simple Tuple,291,291,20,A1
groups,page.py,Simple Tuple,75,75,24,A1
groups,page.py,Simple Tuple,158,158,36,A1
groups,page.py,Simple Tuple,212,212,29,A1
groups,page.py,Simple Tuple,331,331,45,A1
groups,page.py,Simple Tuple,348,348,49,A1
groups,page.py,Simple Tuple,222,222,33,A1
groups,page.py,Simple Tuple,225,225,29,A1
groups,page.py,Simple Tuple,275,275,34,A1
groups,page.py,Simple Tuple,277,277,34,A1
groups,page.py,Simple Dictionary,142,142,28,A2
groups,page.py,'enumerate' call function,151,151,30,C2
groups,page.py,'enumerate' call function,171,171,32,C2
groups,page.py,'enumerate' call function,328,328,41,C2
groups,page.py,'range' call function,314,314,34,A2
groups,page.py,Super Function,183,183,8,C2
groups,page.py,'enumerate' call function,291,291,38,C2
groups,page.py,If statements expression (else),58,58,16,B1
groups,page.py,Simple Atributte,22,22,29,A2
groups,page.py,Simple Atributte,31,31,8,A2
groups,page.py,Simple Atributte,32,32,8,A2
groups,page.py,Simple Atributte,122,122,8,A2
groups,page.py,Simple Atributte,122,122,25,A2
groups,page.py,Simple Atributte,186,186,21,A2
groups,page.py,Simple Atributte,190,190,8,A2
groups,page.py,Simple Atributte,364,364,21,A2
groups,page.py,Simple Atributte,367,367,15,A2
groups,page.py,Simple Atributte,24,24,18,A2
groups,page.py,Simple Atributte,25,25,19,A2
groups,page.py,Simple Atributte,40,40,11,A2
groups,page.py,Simple Atributte,41,41,12,A2
groups,page.py,Simple Atributte,43,43,12,A2
groups,page.py,Simple Atributte,46,46,11,A2
groups,page.py,Simple Atributte,47,47,12,A2
groups,page.py,Simple Atributte,58,58,16,A2
groups,page.py,Simple Atributte,58,58,51,A2
groups,page.py,Simple Atributte,98,98,29,A2
groups,page.py,Simple Atributte,105,105,20,A2
groups,page.py,Simple Atributte,105,105,41,A2
groups,page.py,Simple Atributte,111,111,8,A2
groups,page.py,Simple Atributte,117,117,8,A2
groups,page.py,Simple Atributte,121,121,8,A2
groups,page.py,Simple Atributte,123,123,8,A2
groups,page.py,Simple Atributte,127,127,23,A2
groups,page.py,Simple Atributte,127,127,37,A2
groups,page.py,Simple Atributte,128,128,15,A2
groups,page.py,Simple Atributte,128,128,33,A2
groups,page.py,Simple Atributte,144,144,24,A2
groups,page.py,Simple Atributte,146,146,12,A2
groups,page.py,Simple Atributte,165,165,33,A2
groups,page.py,Simple Atributte,168,168,8,A2
groups,page.py,Simple Atributte,180,180,8,A2
