Repository,File Name,Class,Start Line,End Line,Displacement,Level
blocks,pagefooter.py,Super Function,21,21,15,C2
blocks,pagefooter.py,Simple Atributte,6,6,22,A2
blocks,pagefooter.py,Simple Atributte,16,16,12,A2
blocks,pagefooter.py,Simple Atributte,18,18,11,A2
blocks,pagefooter.py,Simple Atributte,19,19,19,A2
blocks,pagefooter.py,Simple Atributte,21,21,15,A2
blocks,pagefooter.py,Simple Atributte,15,15,28,A2
blocks,pagefooter.py,Simple Atributte,18,18,29,A2
blocks,pagefooter.py,Simple Assignment,16,16,12,A1
blocks,pagefooter.py,From,1,1,0,A2
blocks,pagefooter.py,From,2,2,0,A2
blocks,pagefooter.py,Simple If statements,15,16,8,A1
blocks,pagefooter.py,Simple If statements,18,19,8,A1
blocks,pagefooter.py,Function with Simple argument,14,23,4,A1
blocks,pagefooter.py,Return,21,23,8,A1
blocks,pagefooter.py,Return,19,19,12,A1
blocks,pagefooter.py,Inherited Class from Block,5,23,0,B1
