Repository,File Name,Class,Start Line,End Line,Displacement,Level
providers,pdf.py,Simple List,191,197,22,A1
providers,pdf.py,Simple List,214,214,15,A1
providers,pdf.py,Simple List,224,224,42,A1
providers,pdf.py,Simple List,300,300,38,A1
providers,pdf.py,Simple List,349,349,33,A1
providers,pdf.py,Simple List,350,350,26,A1
providers,pdf.py,Simple List,91,91,53,A1
providers,pdf.py,Simple List,93,93,19,A1
providers,pdf.py,Simple List,230,230,40,A1
providers,pdf.py,Simple List,231,231,46,A1
providers,pdf.py,Simple List,343,346,71,A1
providers,pdf.py,Simple List,327,327,27,A1
providers,pdf.py,Simple List,281,281,41,A1
providers,pdf.py,Simple Tuple,54,54,8,A1
providers,pdf.py,Simple Tuple,35,37,8,A1
providers,pdf.py,Simple Tuple,40,41,8,A1
providers,pdf.py,Simple Tuple,44,45,8,A1
providers,pdf.py,Simple Tuple,48,49,8,A1
providers,pdf.py,Simple Tuple,52,53,8,A1
providers,pdf.py,Simple Tuple,56,57,8,A1
providers,pdf.py,Simple Tuple,60,61,8,A1
providers,pdf.py,Simple Tuple,64,65,8,A1
providers,pdf.py,Simple Tuple,68,69,8,A1
providers,pdf.py,Simple Tuple,72,73,8,A1
providers,pdf.py,Simple Tuple,76,77,8,A1
providers,pdf.py,Simple Tuple,80,81,8,A1
providers,pdf.py,Simple Tuple,144,144,12,A1
providers,pdf.py,Simple Tuple,92,92,33,A1
providers,pdf.py,Simple Tuple,215,215,16,A1
providers,pdf.py,Simple Dictionary,131,142,19,A2
providers,pdf.py,Simple Dictionary,203,203,40,A2
providers,pdf.py,Simple Dictionary,351,351,23,A2
providers,pdf.py,Super Function,85,85,8,C2
providers,pdf.py,'range' call function,97,97,34,A2
providers,pdf.py,'zip' call function,215,215,27,C2
providers,pdf.py,'range' call function,91,91,65,A2
providers,pdf.py,'range' call function,93,93,31,A2
providers,pdf.py,Simple Atributte,26,26,0,A2
providers,pdf.py,Simple Atributte,26,26,40,A2
providers,pdf.py,Simple Atributte,109,109,5,A2
providers,pdf.py,Simple Atributte,406,406,9,A2
providers,pdf.py,Simple Atributte,87,87,8,A2
providers,pdf.py,Simple Atributte,125,125,15,A2
providers,pdf.py,Simple Atributte,213,213,8,A2
providers,pdf.py,Simple Atributte,338,338,11,A2
providers,pdf.py,Simple Atributte,415,415,60,A2
providers,pdf.py,Simple Atributte,26,26,0,A2
providers,pdf.py,Simple Atributte,85,85,8,A2
providers,pdf.py,Simple Atributte,90,90,12,A2
providers,pdf.py,Simple Atributte,91,91,12,A2
providers,pdf.py,Simple Atributte,92,92,12,A2
providers,pdf.py,Simple Atributte,103,103,15,A2
providers,pdf.py,Simple Atributte,116,116,15,A2
providers,pdf.py,Simple Atributte,144,144,39,A2
providers,pdf.py,Simple Atributte,205,205,12,A2
providers,pdf.py,Simple Atributte,218,218,42,A2
providers,pdf.py,Simple Atributte,219,219,42,A2
providers,pdf.py,Simple Atributte,220,220,42,A2
providers,pdf.py,Simple Atributte,317,317,11,A2
providers,pdf.py,Simple Atributte,322,322,15,A2
providers,pdf.py,Simple Atributte,323,323,20,A2
providers,pdf.py,Simple Atributte,386,386,45,A2
providers,pdf.py,Simple Atributte,391,391,50,A2
providers,pdf.py,Simple Atributte,394,394,34,A2
providers,pdf.py,Simple Atributte,405,405,13,A2
providers,pdf.py,Simple Atributte,411,411,16,A2
providers,pdf.py,Simple Atributte,412,412,16,A2
providers,pdf.py,Simple Atributte,423,423,15,A2
providers,pdf.py,Simple Atributte,428,428,15,A2
providers,pdf.py,Simple Atributte,431,431,15,A2
providers,pdf.py,Simple Atributte,89,89,13,A2
providers,pdf.py,Simple Atributte,96,96,15,A2
providers,pdf.py,Simple Atributte,97,97,16,A2
providers,pdf.py,Simple Atributte,105,105,16,A2
providers,pdf.py,Simple Atributte,107,107,16,A2
providers,pdf.py,Simple Atributte,113,113,18,A2
providers,pdf.py,Simple Atributte,113,113,37,A2
providers,pdf.py,Simple Atributte,148,148,12,A2
providers,pdf.py,Simple Atributte,156,156,12,A2
providers,pdf.py,Simple Atributte,183,183,21,A2
providers,pdf.py,Simple Atributte,184,184,12,A2
providers,pdf.py,Simple Atributte,185,185,21,A2
providers,pdf.py,Simple Atributte,186,186,12,A2
providers,pdf.py,Simple Atributte,199,199,19,A2
providers,pdf.py,Simple Atributte,206,206,23,A2
providers,pdf.py,Simple Atributte,207,207,23,A2
providers,pdf.py,Simple Atributte,208,208,20,A2
providers,pdf.py,Simple Atributte,209,209,24,A2
providers,pdf.py,Simple Atributte,211,211,26,A2
providers,pdf.py,Simple Atributte,297,297,15,A2
providers,pdf.py,Simple Atributte,300,300,12,A2
providers,pdf.py,Simple Atributte,307,307,62,A2
providers,pdf.py,Simple Atributte,313,313,32,A2
providers,pdf.py,Simple Atributte,323,323,41,A2
providers,pdf.py,Simple Atributte,384,384,21,A2
providers,pdf.py,Simple Atributte,385,385,26,A2
providers,pdf.py,Simple Atributte,389,389,23,A2
providers,pdf.py,Simple Atributte,390,390,27,A2
providers,pdf.py,Simple Atributte,416,416,13,A2
providers,pdf.py,Simple Atributte,423,423,15,A2
providers,pdf.py,Simple Atributte,425,425,19,A2
providers,pdf.py,Simple Atributte,439,439,31,A2
providers,pdf.py,Simple Atributte,440,440,21,A2
providers,pdf.py,Simple Atributte,107,107,34,A2
providers,pdf.py,Simple Atributte,117,117,16,A2
providers,pdf.py,Simple Atributte,122,122,16,A2
providers,pdf.py,Simple Atributte,146,146,16,A2
providers,pdf.py,Simple Atributte,158,158,12,A2
providers,pdf.py,Simple Atributte,215,215,31,A2
providers,pdf.py,Simple Atributte,225,225,19,A2
providers,pdf.py,Simple Atributte,301,301,28,A2
providers,pdf.py,Simple Atributte,302,302,16,A2
providers,pdf.py,Simple Atributte,315,315,15,A2
providers,pdf.py,Simple Atributte,326,326,16,A2
providers,pdf.py,Simple Atributte,355,355,23,A2
providers,pdf.py,Simple Atributte,356,356,28,A2
providers,pdf.py,Simple Atributte,359,359,16,A2
providers,pdf.py,Simple Atributte,360,360,16,A2
providers,pdf.py,Simple Atributte,373,373,27,A2
providers,pdf.py,Simple Atributte,374,374,59,A2
providers,pdf.py,Simple Atributte,411,411,16,A2
providers,pdf.py,Simple Atributte,418,418,16,A2
providers,pdf.py,Simple Atributte,418,418,50,A2
providers,pdf.py,Simple Atributte,444,444,28,A2
providers,pdf.py,Simple Atributte,446,446,35,A2
providers,pdf.py,Simple Atributte,447,447,16,A2
providers,pdf.py,Simple Atributte,448,448,28,A2
providers,pdf.py,Simple Atributte,99,99,23,A2
providers,pdf.py,Simple Atributte,99,99,59,A2
providers,pdf.py,Simple Atributte,100,100,119,A2
