Repository,File Name,Class,Start Line,End Line,Displacement,Level
schema,polygon.py,Simple List,47,47,15,A1
schema,polygon.py,Simple List,51,51,15,A1
schema,polygon.py,Simple List,76,76,15,A1
schema,polygon.py,Simple List,79,79,22,A1
schema,polygon.py,Simple List,94,94,22,A1
schema,polygon.py,Simple List,106,106,22,A1
schema,polygon.py,Simple List,194,194,18,A1
schema,polygon.py,Simple List,196,196,23,A1
schema,polygon.py,Simple List,197,197,23,A1
schema,polygon.py,4 Nested List,219,219,27,A2
schema,polygon.py,Simple List,84,84,35,A1
schema,polygon.py,Simple List,98,98,35,A1
schema,polygon.py,Simple List,110,110,35,A1
schema,polygon.py,Simple List,204,204,31,A1
schema,polygon.py,Simple List,219,219,28,A1
schema,polygon.py,Simple List,219,219,48,A1
schema,polygon.py,Simple List,219,219,68,A1
schema,polygon.py,Simple List,219,219,88,A1
schema,polygon.py,Simple List,86,86,35,A1
schema,polygon.py,Simple List,100,100,35,A1
schema,polygon.py,Simple List,112,112,35,A1
schema,polygon.py,Simple List,206,206,31,A1
schema,polygon.py,Simple List,88,88,35,A1
schema,polygon.py,Simple List,208,208,31,A1
schema,polygon.py,Simple List,90,90,35,A1
schema,polygon.py,Simple List,210,210,31,A1
schema,polygon.py,Simple Tuple,82,82,12,A1
schema,polygon.py,Simple Tuple,96,96,12,A1
schema,polygon.py,Simple Tuple,108,108,12,A1
schema,polygon.py,Simple Tuple,158,158,8,A1
schema,polygon.py,Simple Tuple,159,159,8,A1
schema,polygon.py,Simple Tuple,129,129,24,A1
schema,polygon.py,Simple Tuple,129,129,54,A1
schema,polygon.py,Simple Tuple,131,131,24,A1
schema,polygon.py,Simple Tuple,131,131,54,A1
schema,polygon.py,Simple Tuple,133,133,24,A1
schema,polygon.py,Simple Tuple,133,133,54,A1
schema,polygon.py,Simple Tuple,135,135,24,A1
schema,polygon.py,Simple Tuple,135,135,54,A1
schema,polygon.py,'enumerate' call function,82,82,25,C2
schema,polygon.py,'enumerate' call function,96,96,25,C2
schema,polygon.py,'enumerate' call function,108,108,25,C2
schema,polygon.py,'range' call function,195,195,17,A2
schema,polygon.py,Simple Atributte,43,43,15,A2
schema,polygon.py,Simple Atributte,43,43,28,A2
schema,polygon.py,Simple Atributte,51,51,16,A2
schema,polygon.py,Simple Atributte,51,51,28,A2
schema,polygon.py,Simple Atributte,55,55,15,A2
schema,polygon.py,Simple Atributte,59,59,15,A2
schema,polygon.py,Simple Atributte,63,63,15,A2
