Repository,File Name,Class,Start Line,End Line,Displacement,Level
providers,powerpoint.py,Simple List,71,71,21,A1
providers,powerpoint.py,Simple List,118,118,22,A1
providers,powerpoint.py,Simple List,157,157,21,A1
providers,powerpoint.py,Simple List,231,231,21,A1
providers,powerpoint.py,Simple List,235,235,23,A1
providers,powerpoint.py,Simple List,109,109,44,A1
providers,powerpoint.py,Simple List,151,151,35,A1
providers,powerpoint.py,Simple Tuple,73,73,12,A1
providers,powerpoint.py,'enumerate' call function,73,73,34,C2
providers,powerpoint.py,Print,54,54,12,A1
providers,powerpoint.py,Super Function,58,58,8,C2
providers,powerpoint.py,If statements expression (else),173,173,36,B1
providers,powerpoint.py,Simple Atributte,47,47,8,A2
providers,powerpoint.py,Simple Atributte,47,47,29,A2
providers,powerpoint.py,Simple Atributte,119,119,21,A2
providers,powerpoint.py,Simple Atributte,149,149,11,A2
providers,powerpoint.py,Simple Atributte,161,161,25,A2
providers,powerpoint.py,Simple Atributte,217,217,16,A2
providers,powerpoint.py,Simple Atributte,218,218,22,A2
providers,powerpoint.py,Simple Atributte,234,234,19,A2
providers,powerpoint.py,Simple Atributte,46,46,19,A2
providers,powerpoint.py,Simple Atributte,48,48,8,A2
providers,powerpoint.py,Simple Atributte,58,58,8,A2
providers,powerpoint.py,Simple Atributte,58,58,25,A2
providers,powerpoint.py,Simple Atributte,61,61,11,A2
providers,powerpoint.py,Simple Atributte,61,61,26,A2
providers,powerpoint.py,Simple Atributte,73,73,44,A2
providers,powerpoint.py,Simple Atributte,75,75,15,A2
providers,powerpoint.py,Simple Atributte,79,79,25,A2
providers,powerpoint.py,Simple Atributte,105,105,15,A2
providers,powerpoint.py,Simple Atributte,108,108,8,A2
providers,powerpoint.py,Simple Atributte,109,109,12,A2
providers,powerpoint.py,Simple Atributte,124,124,15,A2
providers,powerpoint.py,Simple Atributte,138,138,15,A2
providers,powerpoint.py,Simple Atributte,150,150,31,A2
providers,powerpoint.py,Simple Atributte,161,161,25,A2
providers,powerpoint.py,Simple Atributte,162,162,19,A2
providers,powerpoint.py,Simple Atributte,211,211,15,A2
providers,powerpoint.py,Simple Atributte,232,232,8,A2
providers,powerpoint.py,Simple Atributte,234,234,19,A2
providers,powerpoint.py,Simple Atributte,236,236,24,A2
providers,powerpoint.py,Simple Atributte,241,241,8,A2
providers,powerpoint.py,Simple Atributte,242,242,15,A2
