Repository,File Name,Class,Start Line,End Line,Displacement,Level
schema,registry.py,Simple Tuple,38,38,21,A1
schema,registry.py,Simple Tuple,47,47,4,A1
schema,registry.py,Simple Tuple,85,85,12,A1
schema,registry.py,Simple Dictionary,38,38,40,A2
schema,registry.py,Simple Atributte,52,52,21,A2
schema,registry.py,Simple Atributte,53,53,21,A2
schema,registry.py,Simple Atributte,54,54,21,A2
schema,registry.py,Simple Atributte,55,55,21,A2
schema,registry.py,Simple Atributte,56,56,21,A2
schema,registry.py,Simple Atributte,57,57,21,A2
schema,registry.py,Simple Atributte,58,58,21,A2
schema,registry.py,Simple Atributte,59,59,21,A2
schema,registry.py,Simple Atributte,60,60,21,A2
schema,registry.py,Simple Atributte,61,61,21,A2
schema,registry.py,Simple Atributte,62,62,21,A2
schema,registry.py,Simple Atributte,63,63,21,A2
schema,registry.py,Simple Atributte,64,64,21,A2
schema,registry.py,Simple Atributte,65,65,21,A2
schema,registry.py,Simple Atributte,66,66,21,A2
schema,registry.py,Simple Atributte,67,67,21,A2
schema,registry.py,Simple Atributte,68,68,21,A2
schema,registry.py,Simple Atributte,69,69,21,A2
schema,registry.py,Simple Atributte,70,70,21,A2
schema,registry.py,Simple Atributte,71,71,21,A2
schema,registry.py,Simple Atributte,72,72,21,A2
schema,registry.py,Simple Atributte,73,73,21,A2
schema,registry.py,Simple Atributte,74,74,21,A2
schema,registry.py,Simple Atributte,75,75,21,A2
schema,registry.py,Simple Atributte,76,76,21,A2
schema,registry.py,Simple Atributte,77,77,21,A2
schema,registry.py,Simple Atributte,78,78,21,A2
schema,registry.py,Simple Atributte,79,79,21,A2
schema,registry.py,Simple Atributte,47,47,30,A2
schema,registry.py,Simple Atributte,42,42,36,A2
schema,registry.py,Simple Atributte,42,42,59,A2
schema,registry.py,Simple Atributte,84,84,8,A2
schema,registry.py,Simple Atributte,85,85,20,A2
schema,registry.py,Simple Atributte,84,84,8,A2
schema,registry.py,Simple List Comprehension,83,86,4,C1
schema,registry.py,Simple Assignment,42,42,4,A1
schema,registry.py,Simple Assignment,46,46,4,A1
schema,registry.py,Simple Assignment,47,47,4,A1
schema,registry.py,Simple Assignment,48,48,4,A1
schema,registry.py,'assert' exception,81,81,0,B2
schema,registry.py,'assert' exception,82,87,0,B2
schema,registry.py,From,1,1,0,A2
schema,registry.py,From'importlib' module,2,2,0,C1
schema,registry.py,From,4,4,0,A2
schema,registry.py,From,5,26,0,A2
schema,registry.py,From,27,27,0,A2
schema,registry.py,From,28,34,0,A2
schema,registry.py,From,35,35,0,A2
schema,registry.py,From,36,36,0,A2
schema,registry.py,Function with Simple argument,41,42,0,A1
schema,registry.py,Function with Simple argument,45,49,0,A1
schema,registry.py,Return,49,49,4,A1
