Repository,File Name,Class,Start Line,End Line,Displacement,Level
text,span.py,Simple List,93,93,44,A1
text,span.py,Simple List,98,98,43,A1
text,span.py,Simple List,126,126,25,A1
text,span.py,Simple Tuple,28,38,12,A1
text,span.py,Simple Atributte,17,17,29,A2
text,span.py,Simple Atributte,11,11,16,A2
text,span.py,Simple Atributte,12,12,16,A2
text,span.py,Simple Atributte,83,83,11,A2
text,span.py,Simple Atributte,86,86,11,A2
text,span.py,Simple Atributte,89,89,15,A2
text,span.py,Simple Atributte,110,110,11,A2
text,span.py,Simple Atributte,117,117,11,A2
text,span.py,Simple Atributte,121,121,11,A2
text,span.py,Simple Atributte,48,48,25,A2
text,span.py,Simple Atributte,52,52,27,A2
text,span.py,Simple Atributte,56,56,25,A2
text,span.py,Simple Atributte,60,60,30,A2
text,span.py,Simple Atributte,64,64,32,A2
text,span.py,Simple Atributte,68,68,30,A2
text,span.py,Simple Atributte,72,72,26,A2
text,span.py,Simple Atributte,76,76,25,A2
text,span.py,Simple Atributte,80,80,30,A2
text,span.py,Simple Atributte,87,87,19,A2
text,span.py,Simple Atributte,104,104,15,A2
text,span.py,Simple Atributte,107,107,15,A2
text,span.py,Simple Atributte,123,123,13,A2
text,span.py,Simple Atributte,111,111,19,A2
text,span.py,Simple Atributte,125,125,13,A2
text,span.py,Simple Atributte,101,101,36,A2
text,span.py,Simple Atributte,118,118,31,A2
text,span.py,Simple Atributte,132,132,13,A2
text,span.py,Simple Atributte,134,134,13,A2
text,span.py,Simple Atributte,136,136,13,A2
text,span.py,Simple Atributte,138,138,13,A2
text,span.py,Simple Atributte,140,140,13,A2
text,span.py,Simple Atributte,142,142,13,A2
text,span.py,Generator Expression,127,127,18,C1
text,span.py,Simple Assignment,11,11,4,A1
text,span.py,Simple Assignment,12,12,4,A1
text,span.py,Simple Assignment,89,89,8,A1
text,span.py,Simple Assignment,92,92,8,A1
text,span.py,Simple Assignment,104,106,8,A1
text,span.py,Simple Assignment,107,107,8,A1
text,span.py,Simple Assignment,108,108,8,A1
text,span.py,Simple Assignment,145,145,8,A1
text,span.py,Simple Assignment,94,94,12,A1
text,span.py,Simple Assignment,95,95,12,A1
text,span.py,Simple Assignment,99,99,12,A1
text,span.py,Simple Assignment,111,111,12,A1
text,span.py,Simple Assignment,118,118,12,A1
text,span.py,Simple Assignment,122,122,12,A1
text,span.py,Simple Assignment,115,115,16,A1
text,span.py,Simple Assignment,124,124,12,A1
text,span.py,Simple Assignment,126,126,12,A1
text,span.py,Simple Assignment,131,131,12,A1
text,span.py,Simple Assignment,128,128,16,A1
text,span.py,Simple Assignment,130,130,16,A1
text,span.py,Simple Assignment,133,133,12,A1
text,span.py,Simple Assignment,135,135,12,A1
text,span.py,Simple Assignment,137,137,12,A1
text,span.py,Simple Assignment,139,139,12,A1
text,span.py,Simple Assignment,141,141,12,A1
text,span.py,Simple Assignment,143,143,12,A1
text,span.py,Simplified incremental Assignment with increase amount,102,102,12,A2
text,span.py,Import,1,1,0,A2
text,span.py,Import're' module,2,2,0,C1
text,span.py,From,3,3,0,A2
text,span.py,From,5,5,0,A2
text,span.py,From,6,6,0,A2
text,span.py,From,7,7,0,A2
text,span.py,Simple If statements,83,84,8,A1
text,span.py,Simple If statements,86,87,8,A1
text,span.py,Simple If statements,101,102,8,A1
text,span.py,Simple If statements,110,115,8,A1
text,span.py,Simple If statements,117,118,8,A1
text,span.py,Simple If statements,121,143,8,A1
text,span.py,Simple If statements,114,115,12,A1
text,span.py,Simple If statements,123,143,8,A1
text,span.py,Simple If statements,125,143,8,A1
text,span.py,Simple If statements,127,130,12,A1
text,span.py,Simple If statements,132,143,8,A1
text,span.py,Simple If statements,134,143,8,A1
text,span.py,Simple If statements,136,143,8,A1
text,span.py,Simple If statements,138,143,8,A1
text,span.py,Simple If statements,140,143,8,A1
text,span.py,Simple If statements,142,143,8,A1
text,span.py,Simple While Loop,93,95,8,B1
text,span.py,Simple While Loop,98,99,8,B1
text,span.py,Function with Simple argument,10,13,0,A1
text,span.py,Function with Simple argument,47,48,4,A1
text,span.py,Function with Simple argument,51,52,4,A1
text,span.py,Function with Simple argument,55,56,4,A1
text,span.py,Function with Simple argument,59,60,4,A1
text,span.py,Function with Simple argument,63,64,4,A1
text,span.py,Function with Simple argument,67,68,4,A1
text,span.py,Function with Simple argument,71,72,4,A1
text,span.py,Function with Simple argument,75,76,4,A1
text,span.py,Function with Simple argument,79,80,4,A1
text,span.py,Function with Simple argument,82,146,4,A1
text,span.py,Return,13,13,4,A1
text,span.py,Return,48,48,8,A1
text,span.py,Return,52,52,8,A1
text,span.py,Return,56,56,8,A1
text,span.py,Return,60,60,8,A1
text,span.py,Return,64,64,8,A1
text,span.py,Return,68,68,8,A1
text,span.py,Return,72,72,8,A1
text,span.py,Return,76,76,8,A1
text,span.py,Return,80,80,8,A1
text,span.py,Return,146,146,8,A1
text,span.py,Return,84,84,12,A1
text,span.py,Return,87,87,12,A1
text,span.py,Inherited Class from Block,16,146,0,B1
