Repository,File Name,Class,Start Line,End Line,Displacement,Level
.,texto.py,Simple List,3,3,4,A1
.,texto.py,1 Nested List,6,6,4,A2
.,texto.py,1 Dictionary List,9,9,4,B1
.,texto.py,Simple List,191,191,0,A1
.,texto.py,Simple List,191,191,14,A1
.,texto.py,Simple List,290,290,7,A1
.,texto.py,Simple List,291,291,8,A1
.,texto.py,Simple List,301,301,9,A1
.,texto.py,Simple List,312,312,18,A1
.,texto.py,Simple List,315,315,18,A1
.,texto.py,Simple List,348,348,8,A1
.,texto.py,Simple List,350,350,4,A1
.,texto.py,Simple List,6,6,18,A1
.,texto.py,Simple List,26,26,17,A1
.,texto.py,Simple List,26,26,58,A1
.,texto.py,Simple List,104,104,24,A1
.,texto.py,Simple List,244,244,4,A1
.,texto.py,Simple List,510,510,16,A1
.,texto.py,Simple List,31,31,18,A1
.,texto.py,Simple List,32,32,14,A1
.,texto.py,Simple List,35,35,14,A1
.,texto.py,Simple List,36,36,17,A1
.,texto.py,Simple List,39,39,16,A1
.,texto.py,Simple List,88,88,42,A1
.,texto.py,Simple List,324,324,9,A1
.,texto.py,Simple List,324,324,33,A1
.,texto.py,Simple List,540,540,30,A1
.,texto.py,Simple List,543,543,14,A1
.,texto.py,Simple List,546,546,14,A1
.,texto.py,2 Nested Tuple,77,77,5,A2
.,texto.py,Simple Tuple,93,93,10,A1
.,texto.py,Simple Tuple,189,189,0,A1
.,texto.py,Simple Tuple,189,189,12,A1
.,texto.py,2 Nested Tuple,195,195,0,A2
.,texto.py,Simple Tuple,195,195,14,A1
.,texto.py,Simple Tuple,197,197,0,A1
.,texto.py,Simple Tuple,308,308,4,A1
.,texto.py,2 Nested Tuple,312,312,4,A2
.,texto.py,Simple Tuple,315,315,4,A1
.,texto.py,Simple Tuple,329,329,4,A1
.,texto.py,Simple Tuple,333,333,4,A1
.,texto.py,Simple Tuple,77,77,13,A1
.,texto.py,Simple Tuple,195,195,1,A1
.,texto.py,Simple Tuple,290,290,20,A1
.,texto.py,Simple Tuple,291,291,9,A1
.,texto.py,Simple Tuple,312,312,5,A1
.,texto.py,2 Nested Tuple,312,312,19,A2
.,texto.py,2 Nested Tuple,312,312,32,A2
.,texto.py,Simple Tuple,315,315,19,A1
.,texto.py,Simple Tuple,315,315,33,A1
.,texto.py,Simple Tuple,51,51,45,A1
.,texto.py,Simple Tuple,56,56,22,A1
.,texto.py,Simple Tuple,61,61,21,A1
.,texto.py,Simple Tuple,66,66,51,A1
.,texto.py,Simple Tuple,312,312,20,A1
.,texto.py,Simple Tuple,312,312,33,A1
.,texto.py,Simple Tuple,332,332,11,A1
.,texto.py,Simple Tuple,334,334,21,A1
.,texto.py,Simple Dictionary,23,23,5,A2
.,texto.py,2 List Dictionary,26,26,5,B1
.,texto.py,5 List in 3Dictionary of Dictionary,29,41,5,B2
.,texto.py,Simple Dictionary,49,49,12,A2
.,texto.py,Simple Dictionary,55,55,16,A2
.,texto.py,Simple Dictionary,60,60,16,A2
.,texto.py,Simple Dictionary,65,65,16,A2
.,texto.py,Simple Dictionary,225,225,9,A2
.,texto.py,Simple Dictionary,9,9,11,A2
.,texto.py,2 List Dictionary,30,33,12,B1
.,texto.py,2 List Dictionary,34,37,16,B1
.,texto.py,1 List Dictionary,38,40,15,B1
.,texto.py,Simple Dictionary,223,223,6,A2
.,texto.py,Attribute  statements __slots__,510,510,4,C1
.,texto.py,Print,52,52,0,A1
.,texto.py,Print,57,57,0,A1
.,texto.py,Print,62,62,0,A1
.,texto.py,Print,67,67,0,A1
.,texto.py,Print,94,94,0,A1
.,texto.py,Print,95,95,0,A1
.,texto.py,Print,96,96,0,A1
.,texto.py,Print,98,98,0,A1
.,texto.py,Print,99,99,0,A1
.,texto.py,'map' call function,135,135,4,C2
.,texto.py,Files --> 'open' call function,141,141,9,A2
.,texto.py,Files --> 'open' call function,143,143,0,A2
.,texto.py,Files --> 'open' call function,144,144,8,A2
.,texto.py,Files --> 'read' call function,147,147,10,A2
.,texto.py,Files --> 'readline' call function,148,148,10,A2
.,texto.py,Files --> 'write' call function,151,151,0,A2
.,texto.py,Files --> 'writelines' call function,152,152,0,A2
.,texto.py,Print,160,160,0,A1
.,texto.py,Files --> 'readline' call function,165,165,7,A2
.,texto.py,Files --> 'open' call function,171,171,4,A2
.,texto.py,Files --> 'read' call function,172,172,7,A2
.,texto.py,Files --> 'open' call function,177,177,4,A2
.,texto.py,Print,223,223,0,A1
.,texto.py,Print,226,226,0,A1
.,texto.py,Print,227,227,0,A1
.,texto.py,'enumerate' call function,329,329,22,C2
.,texto.py,'enumerate' call function,333,333,14,C2
.,texto.py,Print,414,414,0,A1
.,texto.py,Print,415,415,0,A1
.,texto.py,Print,416,416,0,A1
.,texto.py,Print,488,488,0,A1
.,texto.py,Print,123,123,4,A1
.,texto.py,Print,126,126,4,A1
.,texto.py,Files --> 'read' call function,160,160,6,A2
.,texto.py,Files --> 'open' call function,162,162,14,A2
.,texto.py,Print,204,204,4,A1
.,texto.py,Print,211,211,4,A1
.,texto.py,Print,230,230,4,A1
.,texto.py,Print,249,249,4,A1
.,texto.py,Print,251,251,4,A1
.,texto.py,Print,254,254,4,A1
.,texto.py,Print,302,302,4,A1
.,texto.py,Print,306,306,4,A1
.,texto.py,Print,310,310,4,A1
.,texto.py,Print,313,313,4,A1
.,texto.py,Print,316,316,4,A1
.,texto.py,'range' call function,320,320,5,A2
.,texto.py,'range' call function,321,321,5,A2
.,texto.py,'range' call function,322,322,5,A2
.,texto.py,'zip' call function,324,324,5,C2
.,texto.py,'map' call function,326,326,5,C2
.,texto.py,Print,330,330,4,A1
.,texto.py,Files --> 'open' call function,333,333,24,A2
.,texto.py,Print,334,334,4,A1
.,texto.py,Print,339,339,4,A1
.,texto.py,'range' call function,345,345,13,A2
.,texto.py,Print,352,352,4,A1
.,texto.py,Print,353,353,4,A1
.,texto.py,Print,358,358,4,A1
.,texto.py,Print,363,363,4,A1
.,texto.py,Print,366,366,4,A1
.,texto.py,Print,368,368,4,A1
.,texto.py,Print,371,371,4,A1
.,texto.py,Print,373,373,4,A1
.,texto.py,Print,376,376,4,A1
.,texto.py,Print,379,379,4,A1
.,texto.py,'range' call function,393,393,13,A2
.,texto.py,Print,431,431,4,A1
.,texto.py,Print,494,494,4,A1
.,texto.py,Print,556,556,2,A1
.,texto.py,Print,561,561,2,A1
.,texto.py,Print,578,578,2,A1
.,texto.py,Print,628,628,4,A1
.,texto.py,Print,632,632,4,A1
.,texto.py,Print,637,637,4,A1
.,texto.py,Print,640,640,4,A1
.,texto.py,Print,646,646,4,A1
.,texto.py,Print,648,648,4,A1
.,texto.py,Print,658,658,4,A1
.,texto.py,Print,660,660,4,A1
.,texto.py,Files --> 'open' call function,673,673,5,A2
.,texto.py,'range' call function,13,13,20,A2
.,texto.py,'range' call function,16,16,22,A2
.,texto.py,'range' call function,45,45,22,A2
.,texto.py,'range' call function,70,70,56,A2
.,texto.py,Files --> 'open' call function,159,159,19,A2
.,texto.py,Print,206,206,4,A1
.,texto.py,Print,208,208,4,A1
.,texto.py,Print,213,213,4,A1
.,texto.py,Print,232,232,4,A1
.,texto.py,Print,268,268,8,A1
.,texto.py,Print,276,276,8,A1
.,texto.py,Print,282,282,8,A1
.,texto.py,Print,286,286,8,A1
.,texto.py,'enumerate' call function,332,332,21,C2
.,texto.py,'range' call function,397,397,17,A2
.,texto.py,Print,464,464,8,A1
.,texto.py,Print,474,474,8,A1
.,texto.py,Print,499,499,8,A1
.,texto.py,Print,506,506,8,A1
.,texto.py,Print,529,529,8,A1
.,texto.py,Print,540,540,24,A1
.,texto.py,Print,543,543,8,A1
.,texto.py,Print,546,546,8,A1
.,texto.py,staticmethod,548,548,16,C1
.,texto.py,Print,570,570,4,A1
.,texto.py,Print,572,572,4,A1
.,texto.py,Print,573,573,4,A1
.,texto.py,Print,587,587,8,A1
.,texto.py,Print,596,596,4,A1
.,texto.py,Print,614,614,8,A1
.,texto.py,Print,618,618,8,A1
.,texto.py,Print,625,625,4,A1
.,texto.py,Print,642,642,4,A1
.,texto.py,Print,644,644,4,A1
.,texto.py,Print,652,652,8,A1
.,texto.py,Print,656,656,4,A1
.,texto.py,Print,665,665,4,A1
.,texto.py,Print,675,675,8,A1
.,texto.py,'range' call function,70,70,33,A2
.,texto.py,Files --> 'open' call function,160,160,6,A2
.,texto.py,Print,215,215,4,A1
.,texto.py,Print,296,296,12,A1
.,texto.py,Print,299,299,12,A1
.,texto.py,Print,654,654,8,A1
.,texto.py,Print,217,217,4,A1
.,texto.py,Print,219,219,4,A1
.,texto.py,Super Function,617,617,8,C2
.,texto.py,If statements expression (else),240,240,4,B1
.,texto.py,If statements expression (else),66,66,18,B1
.,texto.py,If statements expression (else),389,389,11,B1
.,texto.py,If statements expression (else),591,591,15,B1
.,texto.py,Special Class Attribute __class__,489,489,0,B2
.,texto.py,Simple Atributte,490,490,0,A2
.,texto.py,Special Class Attribute __dict__,493,493,11,B2
.,texto.py,Simple Atributte,519,519,0,A2
.,texto.py,Simple Atributte,520,520,0,A2
.,texto.py,Simple Atributte,534,534,0,A2
.,texto.py,Simple Atributte,535,535,0,A2
.,texto.py,Simple Atributte,536,536,0,A2
.,texto.py,Simple Atributte,147,147,10,A2
.,texto.py,Simple Atributte,148,148,10,A2
.,texto.py,Simple Atributte,151,151,0,A2
.,texto.py,Simple Atributte,152,152,0,A2
.,texto.py,Simple Atributte,155,155,0,A2
.,texto.py,Simple Atributte,159,159,0,A2
.,texto.py,Simple Atributte,162,162,4,A2
.,texto.py,Simple Atributte,165,165,7,A2
.,texto.py,Simple Atributte,166,166,8,A2
.,texto.py,Simple Atributte,172,172,7,A2
.,texto.py,Simple Atributte,174,174,8,A2
.,texto.py,Simple Atributte,179,179,4,A2
.,texto.py,Simple Atributte,403,403,0,A2
.,texto.py,Simple Atributte,406,406,0,A2
.,texto.py,Simple Atributte,415,415,6,A2
.,texto.py,Simple Atributte,416,416,6,A2
.,texto.py,Simple Atributte,446,446,9,A2
.,texto.py,Simple Atributte,469,469,0,A2
.,texto.py,Simple Atributte,470,470,0,A2
.,texto.py,Special Class Attribute __class__,490,490,0,B2
.,texto.py,Simple Atributte,94,94,18,A2
.,texto.py,Simple Atributte,95,95,20,A2
.,texto.py,Simple Atributte,96,96,15,A2
.,texto.py,Simple Atributte,98,98,7,A2
.,texto.py,Simple Atributte,99,99,7,A2
.,texto.py,Simple Atributte,160,160,6,A2
.,texto.py,Simple Atributte,226,226,6,A2
.,texto.py,Simple Atributte,227,227,6,A2
.,texto.py,Simple Atributte,416,416,6,A2
.,texto.py,Simple Atributte,462,462,8,A2
.,texto.py,Simple Atributte,479,479,8,A2
.,texto.py,Simple Atributte,492,492,5,A2
.,texto.py,Simple Atributte,527,527,8,A2
.,texto.py,Simple Atributte,567,567,4,A2
.,texto.py,Simple Atributte,585,585,8,A2
.,texto.py,Simple Atributte,51,51,62,A2
.,texto.py,Simple Atributte,56,56,32,A2
.,texto.py,Simple Atributte,61,61,31,A2
.,texto.py,Simple Atributte,66,66,61,A2
.,texto.py,Simple Atributte,464,464,14,A2
.,texto.py,Simple Atributte,483,483,36,A2
.,texto.py,Special Class Attribute __dict__,492,492,5,B2
.,texto.py,Special Class Attribute __dict__,494,494,21,B2
.,texto.py,Simple Atributte,502,502,8,A2
.,texto.py,Simple Atributte,571,571,14,A2
