Repository,File Name,Class,Start Line,End Line,Displacement,Level
marker,util.py,Simple List,201,201,15,A1
marker,util.py,Simple List,29,29,14,A1
marker,util.py,Simple List,84,84,15,A1
marker,util.py,Simple List,146,146,19,A1
marker,util.py,Simple List,142,142,41,A1
marker,util.py,Simple Tuple,49,49,8,A1
marker,util.py,Simple Tuple,147,147,8,A1
marker,util.py,Simple Tuple,179,179,11,A1
marker,util.py,Simple Tuple,198,198,11,A1
marker,util.py,Simple Tuple,212,212,8,A1
marker,util.py,Simple Tuple,31,31,8,A1
marker,util.py,Simple Tuple,102,102,20,A1
marker,util.py,Simple Tuple,103,103,20,A1
marker,util.py,Simple Tuple,128,128,36,A1
marker,util.py,Simple Tuple,129,129,36,A1
marker,util.py,Simple Tuple,87,87,12,A1
marker,util.py,Simple Tuple,97,97,24,A1
marker,util.py,Simple Tuple,105,105,30,A1
marker,util.py,Simple Tuple,105,105,46,A1
marker,util.py,Simple Tuple,106,106,30,A1
marker,util.py,Simple Tuple,106,106,46,A1
marker,util.py,Simple Tuple,107,107,30,A1
marker,util.py,Simple Tuple,107,107,46,A1
marker,util.py,Simple Tuple,108,108,30,A1
marker,util.py,Simple Tuple,108,108,46,A1
marker,util.py,Simple Tuple,118,118,24,A1
marker,util.py,Simple Tuple,120,120,24,A1
marker,util.py,Simple Tuple,177,177,19,A1
marker,util.py,Simple Tuple,196,196,19,A1
marker,util.py,Simple Tuple,125,125,29,A1
marker,util.py,Simple Tuple,125,125,45,A1
marker,util.py,Simple Tuple,126,126,29,A1
marker,util.py,Simple Tuple,126,126,45,A1
marker,util.py,Simple Tuple,50,50,49,A1
marker,util.py,Simple Dictionary,16,26,14,A2
marker,util.py,Simple Dictionary,203,210,16,A2
marker,util.py,Simple Dictionary,138,138,22,A2
marker,util.py,Files --> 'open' call function,157,157,59,A2
marker,util.py,'range' call function,88,88,29,A2
marker,util.py,Files --> 'write' call function,160,160,16,A2
marker,util.py,Simple Atributte,95,95,86,A2
marker,util.py,Simple Atributte,116,116,77,A2
marker,util.py,Simple Atributte,14,14,20,A2
marker,util.py,Simple Atributte,15,15,20,A2
marker,util.py,Simple Atributte,59,59,15,A2
marker,util.py,Simple Atributte,202,202,19,A2
marker,util.py,Simple Atributte,202,202,58,A2
marker,util.py,Simple Atributte,46,46,18,A2
marker,util.py,Special Class Attribute __class__,46,46,42,B2
marker,util.py,Simple Atributte,49,49,33,A2
marker,util.py,Special Class Attribute __class__,59,59,15,B2
marker,util.py,Simple Atributte,83,83,16,A2
marker,util.py,Simple Atributte,99,99,13,A2
marker,util.py,Simple Atributte,100,100,13,A2
marker,util.py,Simple Atributte,105,105,12,A2
marker,util.py,Simple Atributte,106,106,12,A2
marker,util.py,Simple Atributte,107,107,12,A2
marker,util.py,Simple Atributte,108,108,12,A2
marker,util.py,Simple Atributte,110,110,12,A2
marker,util.py,Simple Atributte,111,111,13,A2
marker,util.py,Simple Atributte,122,122,13,A2
marker,util.py,Simple Atributte,123,123,13,A2
marker,util.py,Simple Atributte,131,131,16,A2
marker,util.py,Simple Atributte,172,172,12,A2
marker,util.py,Simple Atributte,191,191,12,A2
marker,util.py,Simple Atributte,212,212,16,A2
marker,util.py,Simple Atributte,218,218,7,A2
marker,util.py,Simple Atributte,31,31,34,A2
marker,util.py,Simple Atributte,33,33,8,A2
marker,util.py,Simple Atributte,55,55,51,A2
marker,util.py,Simple Atributte,76,76,18,A2
marker,util.py,Simple Atributte,97,97,15,A2
marker,util.py,Simple Atributte,102,102,23,A2
marker,util.py,Simple Atributte,103,103,20,A2
marker,util.py,Simple Atributte,118,118,15,A2
marker,util.py,Simple Atributte,120,120,15,A2
marker,util.py,Simple Atributte,128,128,39,A2
